Area,Type,Case,Year,Data,Unit
British Columbia,Non Associated,Reference,2019,11.1845925634368,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2020,10.1294606127193,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2021,9.18772691542049,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2022,8.33756883960504,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2023,7.56694236111308,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2024,6.86830067365715,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2025,6.23661082495391,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2026,5.6654338589879,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2027,5.1479271379907,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2028,4.6791733357497,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2029,4.25454676664392,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2030,3.87137281358754,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2031,3.52691258314526,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2032,3.21708606897411,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2033,2.93811059134015,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2034,2.68635700430699,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2035,2.45896073589752,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2036,2.25368845268401,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2037,2.06831511806698,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2038,1.90133606401867,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2039,1.7511364021215,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2040,1.61602254585201,Million cubic metres Per Day
British Columbia,Tight,Reference,2005,20.7279121725514,Million cubic metres Per Day
British Columbia,Tight,Reference,2006,22.0871195281285,Million cubic metres Per Day
British Columbia,Tight,Reference,2007,22.5401886466542,Million cubic metres Per Day
British Columbia,Tight,Reference,2008,24.2391978411256,Million cubic metres Per Day
British Columbia,Tight,Reference,2009,22.9083073054564,Million cubic metres Per Day
British Columbia,Tight,Reference,2010,33.9835307364922,Million cubic metres Per Day
British Columbia,Tight,Reference,2011,47.7290817619858,Million cubic metres Per Day
British Columbia,Tight,Reference,2012,53.9800141952218,Million cubic metres Per Day
British Columbia,Tight,Reference,2013,62.3906827440131,Million cubic metres Per Day
British Columbia,Tight,Reference,2014,74.3019689251218,Million cubic metres Per Day
British Columbia,Tight,Reference,2015,87.6111476325723,Million cubic metres Per Day
British Columbia,Tight,Reference,2016,101.351923453972,Million cubic metres Per Day
British Columbia,Tight,Reference,2017,106.600812681405,Million cubic metres Per Day
British Columbia,Tight,Reference,2018,123.279600761156,Million cubic metres Per Day
British Columbia,Tight,Reference,2019,129.404118197238,Million cubic metres Per Day
British Columbia,Tight,Reference,2020,131.34749159132,Million cubic metres Per Day
British Columbia,Tight,Reference,2021,133.812435365443,Million cubic metres Per Day
British Columbia,Tight,Reference,2022,137.538291295126,Million cubic metres Per Day
British Columbia,Tight,Reference,2023,142.294947313725,Million cubic metres Per Day
British Columbia,Tight,Reference,2024,148.601961602392,Million cubic metres Per Day
British Columbia,Tight,Reference,2025,158.573038230539,Million cubic metres Per Day
British Columbia,Tight,Reference,2026,171.465383276652,Million cubic metres Per Day
British Columbia,Tight,Reference,2027,178.396077582423,Million cubic metres Per Day
British Columbia,Tight,Reference,2028,180.153299852469,Million cubic metres Per Day
British Columbia,Tight,Reference,2029,182.474205118548,Million cubic metres Per Day
British Columbia,Tight,Reference,2030,191.429031584581,Million cubic metres Per Day
British Columbia,Tight,Reference,2031,205.00517739355,Million cubic metres Per Day
British Columbia,Tight,Reference,2032,212.87160697953,Million cubic metres Per Day
British Columbia,Tight,Reference,2033,216.526074674286,Million cubic metres Per Day
British Columbia,Tight,Reference,2034,220.561513794539,Million cubic metres Per Day
British Columbia,Tight,Reference,2035,224.833798605113,Million cubic metres Per Day
British Columbia,Tight,Reference,2036,229.114714691049,Million cubic metres Per Day
British Columbia,Tight,Reference,2037,233.120190167267,Million cubic metres Per Day
British Columbia,Tight,Reference,2038,237.150878390585,Million cubic metres Per Day
British Columbia,Tight,Reference,2039,241.803280922675,Million cubic metres Per Day
British Columbia,Tight,Reference,2040,246.792665017684,Million cubic metres Per Day
British Columbia,Shale,Reference,2005,0,Million cubic metres Per Day
British Columbia,Shale,Reference,2006,0,Million cubic metres Per Day
British Columbia,Shale,Reference,2007,0,Million cubic metres Per Day
British Columbia,Shale,Reference,2008,0,Million cubic metres Per Day
British Columbia,Shale,Reference,2009,2.15207831299714,Million cubic metres Per Day
British Columbia,Shale,Reference,2010,4.99276388869224,Million cubic metres Per Day
British Columbia,Shale,Reference,2011,11.9204705660815,Million cubic metres Per Day
British Columbia,Shale,Reference,2012,13.3774393807678,Million cubic metres Per Day
British Columbia,Shale,Reference,2013,16.9862053450829,Million cubic metres Per Day
British Columbia,Shale,Reference,2014,15.281390146313,Million cubic metres Per Day
British Columbia,Shale,Reference,2015,11.4964095518297,Million cubic metres Per Day
British Columbia,Shale,Reference,2016,9.54917161408705,Million cubic metres Per Day
British Columbia,Shale,Reference,2017,8.55312596737336,Million cubic metres Per Day
British Columbia,Shale,Reference,2018,7.18544789563553,Million cubic metres Per Day
British Columbia,Shale,Reference,2019,6.15918867213936,Million cubic metres Per Day
British Columbia,Shale,Reference,2020,5.301343763362,Million cubic metres Per Day
British Columbia,Shale,Reference,2021,4.57482645470583,Million cubic metres Per Day
British Columbia,Shale,Reference,2022,4.16663394846905,Million cubic metres Per Day
British Columbia,Shale,Reference,2023,4.22415747266719,Million cubic metres Per Day
British Columbia,Shale,Reference,2024,4.82423284354674,Million cubic metres Per Day
British Columbia,Shale,Reference,2025,6.26551742192345,Million cubic metres Per Day
British Columbia,Shale,Reference,2026,8.33822462317392,Million cubic metres Per Day
British Columbia,Shale,Reference,2027,9.19794419321133,Million cubic metres Per Day
British Columbia,Shale,Reference,2028,8.67075470554755,Million cubic metres Per Day
British Columbia,Shale,Reference,2029,8.39964133349568,Million cubic metres Per Day
British Columbia,Shale,Reference,2030,9.50018932342622,Million cubic metres Per Day
British Columbia,Shale,Reference,2031,11.6978415164223,Million cubic metres Per Day
British Columbia,Shale,Reference,2032,12.3869375585804,Million cubic metres Per Day
British Columbia,Shale,Reference,2033,11.8152243768176,Million cubic metres Per Day
British Columbia,Shale,Reference,2034,11.31204033731,Million cubic metres Per Day
British Columbia,Shale,Reference,2035,10.9484323157212,Million cubic metres Per Day
British Columbia,Shale,Reference,2036,10.6170323009965,Million cubic metres Per Day
British Columbia,Shale,Reference,2037,10.286941916539,Million cubic metres Per Day
British Columbia,Shale,Reference,2038,9.95153043916556,Million cubic metres Per Day
British Columbia,Shale,Reference,2039,9.74712848757033,Million cubic metres Per Day
British Columbia,Shale,Reference,2040,9.61370902485367,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2005,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2006,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2007,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2008,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2009,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2010,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2011,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2012,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2013,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2014,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2015,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2016,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2017,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2018,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2019,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2020,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2021,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2022,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2023,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2024,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2025,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2026,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2027,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2028,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2029,0,Million cubic metres Per Day
