Scenario,Region,Type,Year,Data,Unit
Reference,CN,In Situ Bitumen ,2018,247.2227968,Thousand cubic metres
Reference,CN,Total,2018,760.7302684,Thousand cubic metres
Reference,CN,Conventional Light,2019,111.5209927,Thousand cubic metres
Reference,CN,Conventional Heavy,2019,109.0970907,Thousand cubic metres
Reference,CN,C5+,2019,23.20523357,Thousand cubic metres
Reference,CN,Field Condensate,2019,54.42215202,Thousand cubic metres
Reference,CN,Mined Bitumen ,2019,256.6117526,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2019,244.6581695,Thousand cubic metres
Reference,CN,Total,2019,799.515391,Thousand cubic metres
Reference,CN,Conventional Light,2020,108.5250127,Thousand cubic metres
Reference,CN,Conventional Heavy,2020,117.0948898,Thousand cubic metres
Reference,CN,C5+,2020,22.4487079,Thousand cubic metres
Reference,CN,Field Condensate,2020,57.31832064,Thousand cubic metres
Reference,CN,Mined Bitumen ,2020,260.6659036,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2020,260.5355904,Thousand cubic metres
Reference,CN,Total,2020,826.588425,Thousand cubic metres
Reference,CN,Conventional Light,2021,111.0143429,Thousand cubic metres
Reference,CN,Conventional Heavy,2021,124.2776828,Thousand cubic metres
Reference,CN,C5+,2021,23.28620377,Thousand cubic metres
Reference,CN,Field Condensate,2021,58.47556185,Thousand cubic metres
Reference,CN,Mined Bitumen ,2021,262.6452788,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2021,274.0931301,Thousand cubic metres
Reference,CN,Total,2021,853.7922002,Thousand cubic metres
Reference,CN,Conventional Light,2022,112.2384876,Thousand cubic metres
Reference,CN,Conventional Heavy,2022,128.357987,Thousand cubic metres
Reference,CN,C5+,2022,23.98340744,Thousand cubic metres
Reference,CN,Field Condensate,2022,59.08225166,Thousand cubic metres
Reference,CN,Mined Bitumen ,2022,265.5717361,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2022,281.2868957,Thousand cubic metres
Reference,CN,Total,2022,870.5207655,Thousand cubic metres
Reference,CN,Conventional Light,2023,116.8150106,Thousand cubic metres
Reference,CN,Conventional Heavy,2023,128.8349794,Thousand cubic metres
Reference,CN,C5+,2023,23.62672283,Thousand cubic metres
Reference,CN,Field Condensate,2023,60.35035806,Thousand cubic metres
Reference,CN,Mined Bitumen ,2023,267.198086,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2023,288.4557881,Thousand cubic metres
Reference,CN,Total,2023,885.280945,Thousand cubic metres
Reference,CN,Conventional Light,2024,117.1839763,Thousand cubic metres
Reference,CN,Conventional Heavy,2024,129.9223684,Thousand cubic metres
Reference,CN,C5+,2024,23.68811409,Thousand cubic metres
Reference,CN,Field Condensate,2024,63.26985345,Thousand cubic metres
Reference,CN,Mined Bitumen ,2024,267.9135301,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2024,298.3694972,Thousand cubic metres
Reference,CN,Total,2024,900.3473395,Thousand cubic metres
Reference,CN,Conventional Light,2025,117.5006498,Thousand cubic metres
Reference,CN,Conventional Heavy,2025,129.6168882,Thousand cubic metres
Reference,CN,C5+,2025,24.44800105,Thousand cubic metres
Reference,CN,Field Condensate,2025,67.34859584,Thousand cubic metres
Reference,CN,Mined Bitumen ,2025,270.1360438,Thousand cubic metres
