Scenario,Region,Type,Year,Data,Unit
Reference,SK,Total,2017,77.2620496,Thousand cubic metres
Reference,SK,Conventional Light,2018,9.006037247,Thousand cubic metres
Reference,SK,Conventional Heavy,2018,68.6760031,Thousand cubic metres
Reference,SK,C5+,2018,0.094846418,Thousand cubic metres
Reference,SK,Field Condensate,2018,0,Thousand cubic metres
Reference,SK,Mined Bitumen ,2018,0,Thousand cubic metres
Reference,SK,In Situ Bitumen ,2018,0,Thousand cubic metres
Reference,SK,Total,2018,77.77688677,Thousand cubic metres
Reference,SK,Conventional Light,2019,9.060395584,Thousand cubic metres
Reference,SK,Conventional Heavy,2019,75.03741745,Thousand cubic metres
Reference,SK,C5+,2019,0.093770074,Thousand cubic metres
Reference,SK,Field Condensate,2019,0,Thousand cubic metres
Reference,SK,Mined Bitumen ,2019,0,Thousand cubic metres
Reference,SK,In Situ Bitumen ,2019,0,Thousand cubic metres
Reference,SK,Total,2019,84.19158311,Thousand cubic metres
Reference,SK,Conventional Light,2020,8.908640674,Thousand cubic metres
Reference,SK,Conventional Heavy,2020,81.89622382,Thousand cubic metres
Reference,SK,C5+,2020,0.092833161,Thousand cubic metres
Reference,SK,Field Condensate,2020,0,Thousand cubic metres
Reference,SK,Mined Bitumen ,2020,0,Thousand cubic metres
Reference,SK,In Situ Bitumen ,2020,0,Thousand cubic metres
Reference,SK,Total,2020,90.89769766,Thousand cubic metres
Reference,SK,Conventional Light,2021,8.792986145,Thousand cubic metres
Reference,SK,Conventional Heavy,2021,87.17851568,Thousand cubic metres
Reference,SK,C5+,2021,0.091996729,Thousand cubic metres
Reference,SK,Field Condensate,2021,0,Thousand cubic metres
Reference,SK,Mined Bitumen ,2021,0,Thousand cubic metres
Reference,SK,In Situ Bitumen ,2021,0,Thousand cubic metres
Reference,SK,Total,2021,96.06349856,Thousand cubic metres
Reference,SK,Conventional Light,2022,8.719732003,Thousand cubic metres
Reference,SK,Conventional Heavy,2022,90.74731913,Thousand cubic metres
Reference,SK,C5+,2022,0.091243288,Thousand cubic metres
Reference,SK,Field Condensate,2022,0,Thousand cubic metres
Reference,SK,Mined Bitumen ,2022,0,Thousand cubic metres
Reference,SK,In Situ Bitumen ,2022,0,Thousand cubic metres
Reference,SK,Total,2022,99.55829442,Thousand cubic metres
Reference,SK,Conventional Light,2023,8.675246764,Thousand cubic metres
Reference,SK,Conventional Heavy,2023,92.93800715,Thousand cubic metres
Reference,SK,C5+,2023,0.090646609,Thousand cubic metres
Reference,SK,Field Condensate,2023,0,Thousand cubic metres
Reference,SK,Mined Bitumen ,2023,0,Thousand cubic metres
Reference,SK,In Situ Bitumen ,2023,0,Thousand cubic metres
Reference,SK,Total,2023,101.7039005,Thousand cubic metres
Reference,SK,Conventional Light,2024,8.700177007,Thousand cubic metres
Reference,SK,Conventional Heavy,2024,94.65878342,Thousand cubic metres
Reference,SK,C5+,2024,0.090206214,Thousand cubic metres
Reference,SK,Field Condensate,2024,0,Thousand cubic metres
Reference,SK,Mined Bitumen ,2024,0,Thousand cubic metres
Reference,SK,In Situ Bitumen ,2024,0,Thousand cubic metres
Reference,SK,Total,2024,103.4491666,Thousand cubic metres
Reference,SK,Conventional Light,2025,8.792895332,Thousand cubic metres
Reference,SK,Conventional Heavy,2025,95.95956955,Thousand cubic metres
Reference,SK,C5+,2025,0.089913201,Thousand cubic metres
Reference,SK,Field Condensate,2025,0,Thousand cubic metres
Reference,SK,Mined Bitumen ,2025,0,Thousand cubic metres
Reference,SK,In Situ Bitumen ,2025,0,Thousand cubic metres
Reference,SK,Total,2025,104.8423781,Thousand cubic metres
Reference,SK,Conventional Light,2026,8.939105289,Thousand cubic metres
Reference,SK,Conventional Heavy,2026,97.13154337,Thousand cubic metres
Reference,SK,C5+,2026,0.089722734,Thousand cubic metres
Reference,SK,Field Condensate,2026,0,Thousand cubic metres
Reference,SK,Mined Bitumen ,2026,0,Thousand cubic metres
Reference,SK,In Situ Bitumen ,2026,0,Thousand cubic metres
Reference,SK,Total,2026,106.1603714,Thousand cubic metres
Reference,SK,Conventional Light,2027,9.157387222,Thousand cubic metres
Reference,SK,Conventional Heavy,2027,98.464046,Thousand cubic metres
Reference,SK,C5+,2027,0.089586164,Thousand cubic metres
Reference,SK,Field Condensate,2027,0,Thousand cubic metres
Reference,SK,Mined Bitumen ,2027,0,Thousand cubic metres
Reference,SK,In Situ Bitumen ,2027,0,Thousand cubic metres
Reference,SK,Total,2027,107.7110194,Thousand cubic metres
Reference,SK,Conventional Light,2028,9.455638408,Thousand cubic metres
Reference,SK,Conventional Heavy,2028,100.0946879,Thousand cubic metres
Reference,SK,C5+,2028,0.089533698,Thousand cubic metres
Reference,SK,Field Condensate,2028,0,Thousand cubic metres
Reference,SK,Mined Bitumen ,2028,0,Thousand cubic metres
Reference,SK,In Situ Bitumen ,2028,0,Thousand cubic metres
Reference,SK,Total,2028,109.63986,Thousand cubic metres
Reference,SK,Conventional Light,2029,9.820309402,Thousand cubic metres
Reference,SK,Conventional Heavy,2029,102.0031208,Thousand cubic metres
Reference,SK,C5+,2029,0.089595862,Thousand cubic metres
Reference,SK,Field Condensate,2029,0,Thousand cubic metres
Reference,SK,Mined Bitumen ,2029,0,Thousand cubic metres
Reference,SK,In Situ Bitumen ,2029,0,Thousand cubic metres
Reference,SK,Total,2029,111.9130261,Thousand cubic metres
Reference,SK,Conventional Light,2030,10.20202741,Thousand cubic metres
Reference,SK,Conventional Heavy,2030,103.9246577,Thousand cubic metres
Reference,SK,C5+,2030,0.08976884,Thousand cubic metres
Reference,SK,Field Condensate,2030,0,Thousand cubic metres
Reference,SK,Mined Bitumen ,2030,0,Thousand cubic metres
Reference,SK,In Situ Bitumen ,2030,0,Thousand cubic metres
Reference,SK,Total,2030,114.216454,Thousand cubic metres
Reference,SK,Conventional Light,2031,10.57772466,Thousand cubic metres
Reference,SK,Conventional Heavy,2031,105.6839024,Thousand cubic metres
Reference,SK,C5+,2031,0.090051202,Thousand cubic metres
Reference,SK,Field Condensate,2031,0,Thousand cubic metres
Reference,SK,Mined Bitumen ,2031,0,Thousand cubic metres
Reference,SK,In Situ Bitumen ,2031,0,Thousand cubic metres
Reference,SK,Total,2031,116.3516783,Thousand cubic metres
Reference,SK,Conventional Light,2032,10.95521123,Thousand cubic metres
Reference,SK,Conventional Heavy,2032,107.3589395,Thousand cubic metres
Reference,SK,C5+,2032,0.090441356,Thousand cubic metres
Reference,SK,Field Condensate,2032,0,Thousand cubic metres
Reference,SK,Mined Bitumen ,2032,0,Thousand cubic metres
Reference,SK,In Situ Bitumen ,2032,0,Thousand cubic metres
Reference,SK,Total,2032,118.4045921,Thousand cubic metres
Reference,SK,Conventional Light,2033,11.33759333,Thousand cubic metres
Reference,SK,Conventional Heavy,2033,109.0166452,Thousand cubic metres
Reference,SK,C5+,2033,0.090936443,Thousand cubic metres
Reference,SK,Field Condensate,2033,0,Thousand cubic metres
Reference,SK,Mined Bitumen ,2033,0,Thousand cubic metres
Reference,SK,In Situ Bitumen ,2033,0,Thousand cubic metres
Reference,SK,Total,2033,120.4451749,Thousand cubic metres
Reference,SK,Conventional Light,2034,11.72384043,Thousand cubic metres
Reference,SK,Conventional Heavy,2034,110.6704489,Thousand cubic metres
Reference,SK,C5+,2034,0.091534712,Thousand cubic metres
Reference,SK,Field Condensate,2034,0,Thousand cubic metres
Reference,SK,Mined Bitumen ,2034,0,Thousand cubic metres
Reference,SK,In Situ Bitumen ,2034,0,Thousand cubic metres
Reference,SK,Total,2034,122.4858241,Thousand cubic metres
Reference,SK,Conventional Light,2035,12.11172597,Thousand cubic metres
Reference,SK,Conventional Heavy,2035,112.153362,Thousand cubic metres
Reference,SK,C5+,2035,0.092235369,Thousand cubic metres
Reference,SK,Field Condensate,2035,0,Thousand cubic metres
Reference,SK,Mined Bitumen ,2035,0,Thousand cubic metres
Reference,SK,In Situ Bitumen ,2035,0,Thousand cubic metres
Reference,SK,Total,2035,124.3573234,Thousand cubic metres
Reference,SK,Conventional Light,2036,12.49700247,Thousand cubic metres
Reference,SK,Conventional Heavy,2036,113.3739824,Thousand cubic metres
Reference,SK,C5+,2036,0.093037301,Thousand cubic metres
Reference,SK,Field Condensate,2036,0,Thousand cubic metres
Reference,SK,Mined Bitumen ,2036,0,Thousand cubic metres
Reference,SK,In Situ Bitumen ,2036,0,Thousand cubic metres
Reference,SK,Total,2036,125.9640222,Thousand cubic metres
Reference,SK,Conventional Light,2037,12.88254528,Thousand cubic metres
Reference,SK,Conventional Heavy,2037,114.6625407,Thousand cubic metres
Reference,SK,C5+,2037,0.09394019,Thousand cubic metres
Reference,SK,Field Condensate,2037,0,Thousand cubic metres
Reference,SK,Mined Bitumen ,2037,0,Thousand cubic metres
Reference,SK,In Situ Bitumen ,2037,0,Thousand cubic metres
Reference,SK,Total,2037,127.6390262,Thousand cubic metres
Reference,SK,Conventional Light,2038,13.26770112,Thousand cubic metres
Reference,SK,Conventional Heavy,2038,115.8700102,Thousand cubic metres
Reference,SK,C5+,2038,0.094943877,Thousand cubic metres
Reference,SK,Field Condensate,2038,0,Thousand cubic metres
Reference,SK,Mined Bitumen ,2038,0,Thousand cubic metres
Reference,SK,In Situ Bitumen ,2038,0,Thousand cubic metres
Reference,SK,Total,2038,129.2326552,Thousand cubic metres
Reference,SK,Conventional Light,2039,13.65213244,Thousand cubic metres
Reference,SK,Conventional Heavy,2039,117.2176121,Thousand cubic metres
Reference,SK,C5+,2039,0.096048044,Thousand cubic metres
Reference,SK,Field Condensate,2039,0,Thousand cubic metres
Reference,SK,Mined Bitumen ,2039,0,Thousand cubic metres
Reference,SK,In Situ Bitumen ,2039,0,Thousand cubic metres
Reference,SK,Total,2039,130.9657926,Thousand cubic metres
Reference,SK,Conventional Light,2040,14.03493518,Thousand cubic metres
Reference,SK,Conventional Heavy,2040,118.5934585,Thousand cubic metres
Reference,SK,C5+,2040,0,Thousand cubic metres
Reference,SK,Field Condensate,2040,0,Thousand cubic metres
Reference,SK,Mined Bitumen ,2040,0,Thousand cubic metres
Reference,SK,In Situ Bitumen ,2040,0,Thousand cubic metres
Reference,SK,Total,2040,132.6283936,Thousand cubic metres
Reference,MB,Conventional Light,2005,2.203485138,Thousand cubic metres
Reference,MB,Conventional Heavy,2005,0,Thousand cubic metres
Reference,MB,C5+,2005,0,Thousand cubic metres
Reference,MB,Field Condensate,2005,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2005,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2005,0,Thousand cubic metres
Reference,MB,Total,2005,2.203485138,Thousand cubic metres
Reference,MB,Conventional Light,2006,3.398161742,Thousand cubic metres
Reference,MB,Conventional Heavy,2006,0,Thousand cubic metres
Reference,MB,C5+,2006,0,Thousand cubic metres
Reference,MB,Field Condensate,2006,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2006,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2006,0,Thousand cubic metres
Reference,MB,Total,2006,3.398161742,Thousand cubic metres
Reference,MB,Conventional Light,2007,3.531510903,Thousand cubic metres
Reference,MB,Conventional Heavy,2007,0,Thousand cubic metres
Reference,MB,C5+,2007,0,Thousand cubic metres
Reference,MB,Field Condensate,2007,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2007,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2007,0,Thousand cubic metres
Reference,MB,Total,2007,3.531510903,Thousand cubic metres
Reference,MB,Conventional Light,2008,3.746583333,Thousand cubic metres
Reference,MB,Conventional Heavy,2008,0,Thousand cubic metres
Reference,MB,C5+,2008,0,Thousand cubic metres
Reference,MB,Field Condensate,2008,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2008,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2008,0,Thousand cubic metres
Reference,MB,Total,2008,3.746583333,Thousand cubic metres
Reference,MB,Conventional Light,2009,4.116224758,Thousand cubic metres
Reference,MB,Conventional Heavy,2009,0,Thousand cubic metres
Reference,MB,C5+,2009,0,Thousand cubic metres
Reference,MB,Field Condensate,2009,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2009,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2009,0,Thousand cubic metres
Reference,MB,Total,2009,4.116224758,Thousand cubic metres
Reference,MB,Conventional Light,2010,4.763684668,Thousand cubic metres
Reference,MB,Conventional Heavy,2010,0,Thousand cubic metres
Reference,MB,C5+,2010,0,Thousand cubic metres
Reference,MB,Field Condensate,2010,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2010,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2010,0,Thousand cubic metres
Reference,MB,Total,2010,4.763684668,Thousand cubic metres
Reference,MB,Conventional Light,2011,6.462271509,Thousand cubic metres
Reference,MB,Conventional Heavy,2011,0,Thousand cubic metres
Reference,MB,C5+,2011,0,Thousand cubic metres
Reference,MB,Field Condensate,2011,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2011,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2011,0,Thousand cubic metres
Reference,MB,Total,2011,6.462271509,Thousand cubic metres
Reference,MB,Conventional Light,2012,8.094564553,Thousand cubic metres
Reference,MB,Conventional Heavy,2012,0,Thousand cubic metres
Reference,MB,C5+,2012,0,Thousand cubic metres
Reference,MB,Field Condensate,2012,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2012,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2012,0,Thousand cubic metres
Reference,MB,Total,2012,8.094564553,Thousand cubic metres
Reference,MB,Conventional Light,2013,8.262736719,Thousand cubic metres
Reference,MB,Conventional Heavy,2013,0,Thousand cubic metres
Reference,MB,C5+,2013,0,Thousand cubic metres
Reference,MB,Field Condensate,2013,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2013,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2013,0,Thousand cubic metres
Reference,MB,Total,2013,8.262736719,Thousand cubic metres
Reference,MB,Conventional Light,2014,7.781350669,Thousand cubic metres
Reference,MB,Conventional Heavy,2014,0,Thousand cubic metres
Reference,MB,C5+,2014,0,Thousand cubic metres
Reference,MB,Field Condensate,2014,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2014,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2014,0,Thousand cubic metres
Reference,MB,Total,2014,7.781350669,Thousand cubic metres
Reference,MB,Conventional Light,2015,7.282796911,Thousand cubic metres
Reference,MB,Conventional Heavy,2015,0,Thousand cubic metres
Reference,MB,C5+,2015,0,Thousand cubic metres
Reference,MB,Field Condensate,2015,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2015,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2015,0,Thousand cubic metres
Reference,MB,Total,2015,7.282796911,Thousand cubic metres
Reference,MB,Conventional Light,2016,6.380998565,Thousand cubic metres
Reference,MB,Conventional Heavy,2016,0,Thousand cubic metres
Reference,MB,C5+,2016,0,Thousand cubic metres
Reference,MB,Field Condensate,2016,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2016,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2016,0,Thousand cubic metres
Reference,MB,Total,2016,6.380998565,Thousand cubic metres
Reference,MB,Conventional Light,2017,6.214640597,Thousand cubic metres
Reference,MB,Conventional Heavy,2017,0,Thousand cubic metres
Reference,MB,C5+,2017,0,Thousand cubic metres
Reference,MB,Field Condensate,2017,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2017,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2017,0,Thousand cubic metres
Reference,MB,Total,2017,6.214640597,Thousand cubic metres
Reference,MB,Conventional Light,2018,6.369802225,Thousand cubic metres
Reference,MB,Conventional Heavy,2018,0,Thousand cubic metres
Reference,MB,C5+,2018,0,Thousand cubic metres
Reference,MB,Field Condensate,2018,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2018,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2018,0,Thousand cubic metres
Reference,MB,Total,2018,6.369802225,Thousand cubic metres
Reference,MB,Conventional Light,2019,5.496233369,Thousand cubic metres
Reference,MB,Conventional Heavy,2019,0,Thousand cubic metres
Reference,MB,C5+,2019,0,Thousand cubic metres
Reference,MB,Field Condensate,2019,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2019,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2019,0,Thousand cubic metres
Reference,MB,Total,2019,5.496233369,Thousand cubic metres
Reference,MB,Conventional Light,2020,5.094529006,Thousand cubic metres
Reference,MB,Conventional Heavy,2020,0,Thousand cubic metres
Reference,MB,C5+,2020,0,Thousand cubic metres
Reference,MB,Field Condensate,2020,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2020,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2020,0,Thousand cubic metres
Reference,MB,Total,2020,5.094529006,Thousand cubic metres
Reference,MB,Conventional Light,2021,4.764708958,Thousand cubic metres
Reference,MB,Conventional Heavy,2021,0,Thousand cubic metres
Reference,MB,C5+,2021,0,Thousand cubic metres
Reference,MB,Field Condensate,2021,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2021,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2021,0,Thousand cubic metres
Reference,MB,Total,2021,4.764708958,Thousand cubic metres
Reference,MB,Conventional Light,2022,4.48565809,Thousand cubic metres
Reference,MB,Conventional Heavy,2022,0,Thousand cubic metres
Reference,MB,C5+,2022,0,Thousand cubic metres
Reference,MB,Field Condensate,2022,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2022,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2022,0,Thousand cubic metres
Reference,MB,Total,2022,4.48565809,Thousand cubic metres
Reference,MB,Conventional Light,2023,4.244181623,Thousand cubic metres
Reference,MB,Conventional Heavy,2023,0,Thousand cubic metres
Reference,MB,C5+,2023,0,Thousand cubic metres
Reference,MB,Field Condensate,2023,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2023,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2023,0,Thousand cubic metres
Reference,MB,Total,2023,4.244181623,Thousand cubic metres
Reference,MB,Conventional Light,2024,4.043244899,Thousand cubic metres
Reference,MB,Conventional Heavy,2024,0,Thousand cubic metres
Reference,MB,C5+,2024,0,Thousand cubic metres
Reference,MB,Field Condensate,2024,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2024,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2024,0,Thousand cubic metres
Reference,MB,Total,2024,4.043244899,Thousand cubic metres
Reference,MB,Conventional Light,2025,3.87918608,Thousand cubic metres
Reference,MB,Conventional Heavy,2025,0,Thousand cubic metres
Reference,MB,C5+,2025,0,Thousand cubic metres
Reference,MB,Field Condensate,2025,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2025,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2025,0,Thousand cubic metres
Reference,MB,Total,2025,3.87918608,Thousand cubic metres
Reference,MB,Conventional Light,2026,3.741122943,Thousand cubic metres
Reference,MB,Conventional Heavy,2026,0,Thousand cubic metres
Reference,MB,C5+,2026,0,Thousand cubic metres
Reference,MB,Field Condensate,2026,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2026,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2026,0,Thousand cubic metres
Reference,MB,Total,2026,3.741122943,Thousand cubic metres
Reference,MB,Conventional Light,2027,3.628908696,Thousand cubic metres
Reference,MB,Conventional Heavy,2027,0,Thousand cubic metres
Reference,MB,C5+,2027,0,Thousand cubic metres
Reference,MB,Field Condensate,2027,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2027,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2027,0,Thousand cubic metres
Reference,MB,Total,2027,3.628908696,Thousand cubic metres
Reference,MB,Conventional Light,2028,3.550419053,Thousand cubic metres
Reference,MB,Conventional Heavy,2028,0,Thousand cubic metres
Reference,MB,C5+,2028,0,Thousand cubic metres
Reference,MB,Field Condensate,2028,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2028,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2028,0,Thousand cubic metres
Reference,MB,Total,2028,3.550419053,Thousand cubic metres
Reference,MB,Conventional Light,2029,3.501204967,Thousand cubic metres
Reference,MB,Conventional Heavy,2029,0,Thousand cubic metres
Reference,MB,C5+,2029,0,Thousand cubic metres
Reference,MB,Field Condensate,2029,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2029,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2029,0,Thousand cubic metres
Reference,MB,Total,2029,3.501204967,Thousand cubic metres
Reference,MB,Conventional Light,2030,3.470634631,Thousand cubic metres
Reference,MB,Conventional Heavy,2030,0,Thousand cubic metres
Reference,MB,C5+,2030,0,Thousand cubic metres
Reference,MB,Field Condensate,2030,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2030,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2030,0,Thousand cubic metres
Reference,MB,Total,2030,3.470634631,Thousand cubic metres
Reference,MB,Conventional Light,2031,3.451104567,Thousand cubic metres
Reference,MB,Conventional Heavy,2031,0,Thousand cubic metres
Reference,MB,C5+,2031,0,Thousand cubic metres
Reference,MB,Field Condensate,2031,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2031,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2031,0,Thousand cubic metres
Reference,MB,Total,2031,3.451104567,Thousand cubic metres
Reference,MB,Conventional Light,2032,3.44251205,Thousand cubic metres
Reference,MB,Conventional Heavy,2032,0,Thousand cubic metres
Reference,MB,C5+,2032,0,Thousand cubic metres
Reference,MB,Field Condensate,2032,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2032,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2032,0,Thousand cubic metres
Reference,MB,Total,2032,3.44251205,Thousand cubic metres
Reference,MB,Conventional Light,2033,3.444232236,Thousand cubic metres
Reference,MB,Conventional Heavy,2033,0,Thousand cubic metres
Reference,MB,C5+,2033,0,Thousand cubic metres
Reference,MB,Field Condensate,2033,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2033,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2033,0,Thousand cubic metres
Reference,MB,Total,2033,3.444232236,Thousand cubic metres
Reference,MB,Conventional Light,2034,3.455034908,Thousand cubic metres
Reference,MB,Conventional Heavy,2034,0,Thousand cubic metres
Reference,MB,C5+,2034,0,Thousand cubic metres
Reference,MB,Field Condensate,2034,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2034,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2034,0,Thousand cubic metres
Reference,MB,Total,2034,3.455034908,Thousand cubic metres
Reference,MB,Conventional Light,2035,3.473483135,Thousand cubic metres
Reference,MB,Conventional Heavy,2035,0,Thousand cubic metres
Reference,MB,C5+,2035,0,Thousand cubic metres
Reference,MB,Field Condensate,2035,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2035,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2035,0,Thousand cubic metres
Reference,MB,Total,2035,3.473483135,Thousand cubic metres
Reference,MB,Conventional Light,2036,3.498048314,Thousand cubic metres
Reference,MB,Conventional Heavy,2036,0,Thousand cubic metres
Reference,MB,C5+,2036,0,Thousand cubic metres
Reference,MB,Field Condensate,2036,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2036,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2036,0,Thousand cubic metres
Reference,MB,Total,2036,3.498048314,Thousand cubic metres
Reference,MB,Conventional Light,2037,3.528242376,Thousand cubic metres
Reference,MB,Conventional Heavy,2037,0,Thousand cubic metres
Reference,MB,C5+,2037,0,Thousand cubic metres
Reference,MB,Field Condensate,2037,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2037,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2037,0,Thousand cubic metres
Reference,MB,Total,2037,3.528242376,Thousand cubic metres
Reference,MB,Conventional Light,2038,3.558399341,Thousand cubic metres
Reference,MB,Conventional Heavy,2038,0,Thousand cubic metres
Reference,MB,C5+,2038,0,Thousand cubic metres
Reference,MB,Field Condensate,2038,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2038,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2038,0,Thousand cubic metres
Reference,MB,Total,2038,3.558399341,Thousand cubic metres
Reference,MB,Conventional Light,2039,3.564761543,Thousand cubic metres
Reference,MB,Conventional Heavy,2039,0,Thousand cubic metres
Reference,MB,C5+,2039,0,Thousand cubic metres
Reference,MB,Field Condensate,2039,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2039,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2039,0,Thousand cubic metres
Reference,MB,Total,2039,3.564761543,Thousand cubic metres
Reference,MB,Conventional Light,2040,3.568751238,Thousand cubic metres
Reference,MB,Conventional Heavy,2040,0,Thousand cubic metres
Reference,MB,C5+,2040,0,Thousand cubic metres
Reference,MB,Field Condensate,2040,0,Thousand cubic metres
Reference,MB,Mined Bitumen ,2040,0,Thousand cubic metres
Reference,MB,In Situ Bitumen ,2040,0,Thousand cubic metres
Reference,MB,Total,2040,3.568751238,Thousand cubic metres
Reference,ON,Conventional Light,2005,0.38,Thousand cubic metres
Reference,ON,Conventional Heavy,2005,0,Thousand cubic metres
Reference,ON,C5+,2005,0,Thousand cubic metres
Reference,ON,Field Condensate,2005,0,Thousand cubic metres
Reference,ON,Mined Bitumen ,2005,0,Thousand cubic metres
Reference,ON,In Situ Bitumen ,2005,0,Thousand cubic metres
Reference,ON,Total,2005,0.38,Thousand cubic metres
Reference,ON,Conventional Light,2006,0.34,Thousand cubic metres
Reference,ON,Conventional Heavy,2006,0,Thousand cubic metres
Reference,ON,C5+,2006,0,Thousand cubic metres
Reference,ON,Field Condensate,2006,0,Thousand cubic metres
Reference,ON,Mined Bitumen ,2006,0,Thousand cubic metres
Reference,ON,In Situ Bitumen ,2006,0,Thousand cubic metres
Reference,ON,Total,2006,0.34,Thousand cubic metres
Reference,ON,Conventional Light,2007,0.3,Thousand cubic metres
Reference,ON,Conventional Heavy,2007,0,Thousand cubic metres
Reference,ON,C5+,2007,0,Thousand cubic metres
Reference,ON,Field Condensate,2007,0,Thousand cubic metres
Reference,ON,Mined Bitumen ,2007,0,Thousand cubic metres
Reference,ON,In Situ Bitumen ,2007,0,Thousand cubic metres
Reference,ON,Total,2007,0.3,Thousand cubic metres
Reference,ON,Conventional Light,2008,0.27,Thousand cubic metres
Reference,ON,Conventional Heavy,2008,0,Thousand cubic metres
Reference,ON,C5+,2008,0,Thousand cubic metres
Reference,ON,Field Condensate,2008,0,Thousand cubic metres
Reference,ON,Mined Bitumen ,2008,0,Thousand cubic metres
Reference,ON,In Situ Bitumen ,2008,0,Thousand cubic metres
Reference,ON,Total,2008,0.27,Thousand cubic metres
Reference,ON,Conventional Light,2009,0.25,Thousand cubic metres
Reference,ON,Conventional Heavy,2009,0,Thousand cubic metres
Reference,ON,C5+,2009,0,Thousand cubic metres
Reference,ON,Field Condensate,2009,0,Thousand cubic metres
Reference,ON,Mined Bitumen ,2009,0,Thousand cubic metres
Reference,ON,In Situ Bitumen ,2009,0,Thousand cubic metres
Reference,ON,Total,2009,0.25,Thousand cubic metres
Reference,ON,Conventional Light,2010,0.24,Thousand cubic metres
Reference,ON,Conventional Heavy,2010,0,Thousand cubic metres
Reference,ON,C5+,2010,0,Thousand cubic metres
Reference,ON,Field Condensate,2010,0,Thousand cubic metres
Reference,ON,Mined Bitumen ,2010,0,Thousand cubic metres
