province,source,scenario,year,value,unit
all,total,reference,2005,607006.5700000001,
AB,total,reference,2005,68435.34,GW.h
BC,total,reference,2005,67108.36,GW.h
MB,total,reference,2005,37057.17,GW.h
NB,total,reference,2005,21333,GW.h
NL,total,reference,2005,42074.94,GW.h
NS,total,reference,2005,12498.75,GW.h
NT,total,reference,2005,684.25,GW.h
NU,total,reference,2005,142,GW.h
ON,total,reference,2005,158207.48,GW.h
PE,total,reference,2005,42.22,GW.h
QC,total,reference,2005,179303.77,GW.h
SK,total,reference,2005,19766.16,GW.h
YT,total,reference,2005,353.13,GW.h
all,total,reference,2006,603034.92,
AB,total,reference,2006,71776.34,GW.h
BC,total,reference,2006,60875.36,GW.h
MB,total,reference,2006,34540.17,GW.h
NB,total,reference,2006,18467,GW.h
NL,total,reference,2006,42813.23,GW.h
NS,total,reference,2006,12523.75,GW.h
NT,total,reference,2006,684.25,GW.h
NU,total,reference,2006,145,GW.h
ON,total,reference,2006,158297.58,GW.h
PE,total,reference,2006,38.22,GW.h
QC,total,reference,2006,182904.73,GW.h
SK,total,reference,2006,19616.16,GW.h
YT,total,reference,2006,353.13,GW.h
all,total,reference,2007,620671.93,
AB,total,reference,2007,72535.54,GW.h
BC,total,reference,2007,70223.36,GW.h
MB,total,reference,2007,34402.17,GW.h
NB,total,reference,2007,17269,GW.h
NL,total,reference,2007,41593.94,GW.h
NS,total,reference,2007,12570.75,GW.h
NT,total,reference,2007,684.25,GW.h
NU,total,reference,2007,149,GW.h
ON,total,reference,2007,158622.68,GW.h
PE,total,reference,2007,42.22,GW.h
QC,total,reference,2007,191611.73,GW.h
SK,total,reference,2007,20614.16,GW.h
YT,total,reference,2007,353.13,GW.h
all,total,reference,2008,624661.99,
AB,total,reference,2008,71650.65,GW.h
BC,total,reference,2008,64553.12,GW.h
MB,total,reference,2008,35563.78,GW.h
NB,total,reference,2008,14591,GW.h
NL,total,reference,2008,43386,GW.h
NS,total,reference,2008,12213.52,GW.h
NT,total,reference,2008,739.58,GW.h
NU,total,reference,2008,182,GW.h
ON,total,reference,2008,165176.16,GW.h
PE,total,reference,2008,148.37,GW.h
QC,total,reference,2008,194321.17,GW.h
SK,total,reference,2008,21765.58,GW.h
YT,total,reference,2008,371.06,GW.h
all,total,reference,2009,598166.7899999999,
AB,total,reference,2009,72171.5,GW.h
BC,total,reference,2009,61964.53,GW.h
MB,total,reference,2009,34096.94,GW.h
NB,total,reference,2009,13459,GW.h
NL,total,reference,2009,38399.22,GW.h
NS,total,reference,2009,11624.1,GW.h
NT,total,reference,2009,641.95,GW.h
NU,total,reference,2009,162,GW.h
ON,total,reference,2009,147621.99,GW.h
PE,total,reference,2009,359.54,GW.h
QC,total,reference,2009,196499.71,GW.h
SK,total,reference,2009,20768.48,GW.h
YT,total,reference,2009,397.83,GW.h
all,total,reference,2010,590547.74,
AB,total,reference,2010,73568.78,GW.h
BC,total,reference,2010,61549.79,GW.h
MB,total,reference,2010,33777.8,GW.h
NB,total,reference,2010,11416,GW.h
NL,total,reference,2010,41934.2,GW.h
NS,total,reference,2010,12143.96,GW.h
NT,total,reference,2010,520.76,GW.h
NU,total,reference,2010,162,GW.h
ON,total,reference,2010,150270.2,GW.h
PE,total,reference,2010,463.77,GW.h
QC,total,reference,2010,183926.68,GW.h
SK,total,reference,2010,20408.5,GW.h
YT,total,reference,2010,405.3,GW.h
all,total,reference,2011,615163.1599999999,
AB,total,reference,2011,73054.19,GW.h
BC,total,reference,2011,67964.79,GW.h
MB,total,reference,2011,35139.84,GW.h
NB,total,reference,2011,11802,GW.h
NL,total,reference,2011,41703.65,GW.h
NS,total,reference,2011,11965.12,GW.h
NT,total,reference,2011,452.34,GW.h
NU,total,reference,2011,98,GW.h
ON,total,reference,2011,154572.9,GW.h
PE,total,reference,2011,494.04,GW.h
QC,total,reference,2011,196296.13,GW.h
SK,total,reference,2011,21194.82,GW.h
YT,total,reference,2011,425.34,GW.h
all,total,reference,2012,623343.09,
AB,total,reference,2012,75077.12,GW.h
BC,total,reference,2012,71951.28,GW.h
MB,total,reference,2012,33203.4,GW.h
NB,total,reference,2012,10288,GW.h
NL,total,reference,2012,43798.73,GW.h
NS,total,reference,2012,11403.93,GW.h
NT,total,reference,2012,446.7,GW.h
NU,total,reference,2012,98,GW.h
ON,total,reference,2012,154329.69,GW.h
PE,total,reference,2012,481.96,GW.h
QC,total,reference,2012,200559.4,GW.h
SK,total,reference,2012,21249.88,GW.h
YT,total,reference,2012,455,GW.h
all,total,reference,2013,645823.23,
AB,total,reference,2013,78052.1,GW.h
BC,total,reference,2013,65994.23,GW.h
MB,total,reference,2013,36346.72,GW.h
NB,total,reference,2013,15070,GW.h
NL,total,reference,2013,43240.08,GW.h
NS,total,reference,2013,11040.35,GW.h
NT,total,reference,2013,561.28,GW.h
NU,total,reference,2013,98,GW.h
ON,total,reference,2013,161907.28,GW.h
PE,total,reference,2013,507.23,GW.h
QC,total,reference,2013,209467.74,GW.h
SK,total,reference,2013,23167.46,GW.h
YT,total,reference,2013,370.76,GW.h
all,total,reference,2014,645834.32,
AB,total,reference,2014,82823.15,GW.h
BC,total,reference,2014,64642.39,GW.h
MB,total,reference,2014,35636.08,GW.h
NB,total,reference,2014,16470,GW.h
NL,total,reference,2014,41064.74,GW.h
NS,total,reference,2014,10709.03,GW.h
NT,total,reference,2014,708.2,GW.h
NU,total,reference,2014,158,GW.h
ON,total,reference,2014,163719.22,GW.h
PE,total,reference,2014,604.29,GW.h
QC,total,reference,2014,206677.28,GW.h
SK,total,reference,2014,22207.5,GW.h
YT,total,reference,2014,414.44,GW.h
all,total,reference,2015,653183.0199999999,
AB,total,reference,2015,82517.17,GW.h
BC,total,reference,2015,66317.79,GW.h
MB,total,reference,2015,37927.9,GW.h
NB,total,reference,2015,13061.85,GW.h
NL,total,reference,2015,41447,GW.h
NS,total,reference,2015,10948.8,GW.h
NT,total,reference,2015,715.4,GW.h
NU,total,reference,2015,172.96,GW.h
ON,total,reference,2015,167315.62,GW.h
PE,total,reference,2015,592.24,GW.h
QC,total,reference,2015,207400.34,GW.h
SK,total,reference,2015,24340.38,GW.h
YT,total,reference,2015,425.57,GW.h
all,total,reference,2016,664228.6499999998,
AB,total,reference,2016,84427.42,GW.h
BC,total,reference,2016,68133,GW.h
MB,total,reference,2016,37820.49,GW.h
NB,total,reference,2016,11992.37,GW.h
NL,total,reference,2016,41586.17,GW.h
NS,total,reference,2016,10967.12,GW.h
NT,total,reference,2016,741.52,GW.h
NU,total,reference,2016,181.63,GW.h
ON,total,reference,2016,172365.21,GW.h
PE,total,reference,2016,550.36,GW.h
QC,total,reference,2016,211008.32,GW.h
SK,total,reference,2016,24042.57,GW.h
YT,total,reference,2016,412.47,GW.h
all,total,reference,2017,639225.8799999999,
AB,total,reference,2017,85728.84,GW.h
BC,total,reference,2017,68616.36,GW.h
MB,total,reference,2017,37703.9,GW.h
NB,total,reference,2017,12434.44,GW.h
NL,total,reference,2017,40684.18,GW.h
NS,total,reference,2017,10881.51,GW.h
NT,total,reference,2017,760.99,GW.h
NU,total,reference,2017,190.48,GW.h
ON,total,reference,2017,150503.67,GW.h
PE,total,reference,2017,553.48,GW.h
QC,total,reference,2017,206662.09,GW.h
SK,total,reference,2017,24115.94,GW.h
YT,total,reference,2017,390,GW.h
all,total,reference,2018,643187.19,
AB,total,reference,2018,87797.29,GW.h
BC,total,reference,2018,68754.18,GW.h
MB,total,reference,2018,37955.49,GW.h
NB,total,reference,2018,12460.85,GW.h
NL,total,reference,2018,40370.43,GW.h
NS,total,reference,2018,10839.08,GW.h
NT,total,reference,2018,766.91,GW.h
NU,total,reference,2018,191.66,GW.h
ON,total,reference,2018,150819.44,GW.h
PE,total,reference,2018,557.74,GW.h
QC,total,reference,2018,208124.18,GW.h
SK,total,reference,2018,24098.19,GW.h
YT,total,reference,2018,451.75,GW.h
all,total,reference,2019,650632.1799999999,
AB,total,reference,2019,89385.39,GW.h
BC,total,reference,2019,69909.04,GW.h
MB,total,reference,2019,37745.32,GW.h
NB,total,reference,2019,12786.51,GW.h
NL,total,reference,2019,43726.18,GW.h
NS,total,reference,2019,7740.19,GW.h
NT,total,reference,2019,767.09,GW.h
NU,total,reference,2019,191.92,GW.h
ON,total,reference,2019,152573.74,GW.h
PE,total,reference,2019,562.83,GW.h
QC,total,reference,2019,211394.78,GW.h
SK,total,reference,2019,23201.23,GW.h
YT,total,reference,2019,647.96,GW.h
all,total,reference,2020,654430.7000000001,
AB,total,reference,2020,89270.48,GW.h
BC,total,reference,2020,70119.12,GW.h
MB,total,reference,2020,38962.2,GW.h
NB,total,reference,2020,12850.2,GW.h
NL,total,reference,2020,43663.43,GW.h
NS,total,reference,2020,7803.41,GW.h
NT,total,reference,2020,765.95,GW.h
NU,total,reference,2020,193.85,GW.h
ON,total,reference,2020,151679.32,GW.h
PE,total,reference,2020,652.73,GW.h
QC,total,reference,2020,212865.16,GW.h
SK,total,reference,2020,24951.8,GW.h
YT,total,reference,2020,653.05,GW.h
all,total,reference,2021,661566.09,
AB,total,reference,2021,90102.02,GW.h
BC,total,reference,2021,70847.69,GW.h
MB,total,reference,2021,42362.12,GW.h
NB,total,reference,2021,12805.4,GW.h
NL,total,reference,2021,43670.1,GW.h
NS,total,reference,2021,7879.84,GW.h
NT,total,reference,2021,765.87,GW.h
NU,total,reference,2021,196.61,GW.h
ON,total,reference,2021,152425.32,GW.h
PE,total,reference,2021,657.99,GW.h
QC,total,reference,2021,214238.45,GW.h
SK,total,reference,2021,24966.72,GW.h
YT,total,reference,2021,647.96,GW.h
all,total,reference,2022,665605.0700000001,
AB,total,reference,2022,91776.98,GW.h
BC,total,reference,2022,71359.73,GW.h
MB,total,reference,2022,42426.51,GW.h
NB,total,reference,2022,12841.23,GW.h
NL,total,reference,2022,43746.15,GW.h
NS,total,reference,2022,7906.82,GW.h
NT,total,reference,2022,765.43,GW.h
NU,total,reference,2022,217.63,GW.h
ON,total,reference,2022,152986.14,GW.h
PE,total,reference,2022,660.57,GW.h
QC,total,reference,2022,215511.64,GW.h
SK,total,reference,2022,24705.41,GW.h
YT,total,reference,2022,700.83,GW.h
all,total,reference,2023,670460.5599999999,
AB,total,reference,2023,93447.43,GW.h
BC,total,reference,2023,72044.86,GW.h
MB,total,reference,2023,42498.81,GW.h
NB,total,reference,2023,12885.11,GW.h
NL,total,reference,2023,43963.05,GW.h
NS,total,reference,2023,7908.46,GW.h
NT,total,reference,2023,765.17,GW.h
NU,total,reference,2023,218.85,GW.h
ON,total,reference,2023,153913.8,GW.h
PE,total,reference,2023,666.92,GW.h
QC,total,reference,2023,216695.07,GW.h
SK,total,reference,2023,24915.61,GW.h
YT,total,reference,2023,537.42,GW.h
all,total,reference,2024,675345.1799999999,
AB,total,reference,2024,94830.06,GW.h
BC,total,reference,2024,72702.44,GW.h
MB,total,reference,2024,42584.54,GW.h
NB,total,reference,2024,13104.72,GW.h
NL,total,reference,2024,44061.55,GW.h
NS,total,reference,2024,7966.91,GW.h
NT,total,reference,2024,765.12,GW.h
NU,total,reference,2024,219.38,GW.h
ON,total,reference,2024,154816.53,GW.h
PE,total,reference,2024,671.63,GW.h
QC,total,reference,2024,217941.36,GW.h
SK,total,reference,2024,25159.11,GW.h
YT,total,reference,2024,521.83,GW.h
all,total,reference,2025,684441.81,
AB,total,reference,2025,96334.52,GW.h
BC,total,reference,2025,73504.61,GW.h
MB,total,reference,2025,46675.97,GW.h
NB,total,reference,2025,13386.92,GW.h
NL,total,reference,2025,44214.64,GW.h
NS,total,reference,2025,7902.08,GW.h
NT,total,reference,2025,756.49,GW.h
NU,total,reference,2025,219.51,GW.h
ON,total,reference,2025,155714.79,GW.h
PE,total,reference,2025,760.48,GW.h
QC,total,reference,2025,219110.66,GW.h
SK,total,reference,2025,25353.42,GW.h
YT,total,reference,2025,507.72,GW.h
all,total,reference,2026,689292.51,
AB,total,reference,2026,97962.05,GW.h
BC,total,reference,2026,73936.52,GW.h
MB,total,reference,2026,46916.29,GW.h
NB,total,reference,2026,13495.32,GW.h
NL,total,reference,2026,44289.4,GW.h
NS,total,reference,2026,8146.46,GW.h
NT,total,reference,2026,756.41,GW.h
NU,total,reference,2026,222.15,GW.h
ON,total,reference,2026,156409.54,GW.h
PE,total,reference,2026,766.38,GW.h
QC,total,reference,2026,220202.53,GW.h
SK,total,reference,2026,25699.26,GW.h
YT,total,reference,2026,490.2,GW.h
all,total,reference,2027,696292.12,
AB,total,reference,2027,99101.91,GW.h
BC,total,reference,2027,74231.47,GW.h
MB,total,reference,2027,49014.15,GW.h
NB,total,reference,2027,13018.86,GW.h
NL,total,reference,2027,43939.2,GW.h
NS,total,reference,2027,8207.28,GW.h
NT,total,reference,2027,752.9,GW.h
NU,total,reference,2027,225.21,GW.h
ON,total,reference,2027,161993.56,GW.h
PE,total,reference,2027,767.95,GW.h
QC,total,reference,2027,218390.34,GW.h
SK,total,reference,2027,26160.71,GW.h
YT,total,reference,2027,488.58,GW.h
all,total,reference,2028,701602.42,
AB,total,reference,2028,100328.45,GW.h
BC,total,reference,2028,74474.25,GW.h
MB,total,reference,2028,49035.23,GW.h
NB,total,reference,2028,12399.84,GW.h
NL,total,reference,2028,44136.89,GW.h
NS,total,reference,2028,8261.23,GW.h
NT,total,reference,2028,750.19,GW.h
NU,total,reference,2028,225.42,GW.h
ON,total,reference,2028,163283.17,GW.h
PE,total,reference,2028,773.31,GW.h
QC,total,reference,2028,221211.23,GW.h
SK,total,reference,2028,26242.34,GW.h
YT,total,reference,2028,480.87,GW.h
all,total,reference,2029,710422.3700000001,
AB,total,reference,2029,99067.26,GW.h
BC,total,reference,2029,77411.81,GW.h
MB,total,reference,2029,52131.91,GW.h
NB,total,reference,2029,12426.25,GW.h
NL,total,reference,2029,44127.7,GW.h
NS,total,reference,2029,8539.02,GW.h
NT,total,reference,2029,750.19,GW.h
NU,total,reference,2029,227.7,GW.h
ON,total,reference,2029,166020.69,GW.h
PE,total,reference,2029,775.88,GW.h
QC,total,reference,2029,222167.15,GW.h
SK,total,reference,2029,26302.3,GW.h
YT,total,reference,2029,474.51,GW.h
all,total,reference,2030,715599.7100000001,
AB,total,reference,2030,100460.4,GW.h
BC,total,reference,2030,77719.55,GW.h
MB,total,reference,2030,52192.83,GW.h
NB,total,reference,2030,12488.92,GW.h
NL,total,reference,2030,44098.49,GW.h
NS,total,reference,2030,8604.48,GW.h
NT,total,reference,2030,747.83,GW.h
NU,total,reference,2030,228.14,GW.h
ON,total,reference,2030,167333.35,GW.h
PE,total,reference,2030,867.37,GW.h
QC,total,reference,2030,224019.71,GW.h
SK,total,reference,2030,26364.17,GW.h
YT,total,reference,2030,474.47,GW.h
all,total,reference,2031,720740.8500000001,
AB,total,reference,2031,101894.9,GW.h
BC,total,reference,2031,78065.98,GW.h
MB,total,reference,2031,52279.73,GW.h
NB,total,reference,2031,12453.62,GW.h
NL,total,reference,2031,44097.55,GW.h
NS,total,reference,2031,8586.79,GW.h
NT,total,reference,2031,747.83,GW.h
NU,total,reference,2031,228.14,GW.h
ON,total,reference,2031,168351.61,GW.h
PE,total,reference,2031,869.03,GW.h
QC,total,reference,2031,226277.89,GW.h
SK,total,reference,2031,26409.93,GW.h
YT,total,reference,2031,477.85,GW.h
all,total,reference,2032,724583.93,
AB,total,reference,2032,102839.9,GW.h
