province,source,scenario,year,value,unit
QC,total,reference,2015,208390.6657,GW.h
SK,total,reference,2015,23430.443,GW.h
YT,total,reference,2015,446.584,GW.h
all,total,reference,2016,647290.5818,GW.h
AB,total,reference,2016,77827.292,GW.h
BC,total,reference,2016,73051.976,GW.h
MB,total,reference,2016,36663.4462,GW.h
NB,total,reference,2016,15030.6183,GW.h
NL,total,reference,2016,43624.0433,GW.h
NS,total,reference,2016,8625.3573,GW.h
NT,total,reference,2016,351.267,GW.h
NU,total,reference,2016,172.509,GW.h
ON,total,reference,2016,156609.0683,GW.h
PE,total,reference,2016,567.0475,GW.h
QC,total,reference,2016,209570.4389,GW.h
SK,total,reference,2016,24753.771,GW.h
YT,total,reference,2016,443.747,GW.h
all,total,reference,2017,642608.179,GW.h
AB,total,reference,2017,79633.9203,GW.h
BC,total,reference,2017,73168.5349,GW.h
MB,total,reference,2017,36572.7001,GW.h
NB,total,reference,2017,13971.8403,GW.h
NL,total,reference,2017,41295.0337,GW.h
NS,total,reference,2017,8027.6104,GW.h
NT,total,reference,2017,356.7671,GW.h
NU,total,reference,2017,112.8737,GW.h
ON,total,reference,2017,154057.4994,GW.h
PE,total,reference,2017,601.7587,GW.h
QC,total,reference,2017,210438.7399,GW.h
SK,total,reference,2017,23943.8419,GW.h
YT,total,reference,2017,427.0586,GW.h
all,total,reference,2018,640146.6322,GW.h
AB,total,reference,2018,81743.8383,GW.h
BC,total,reference,2018,73593.2298,GW.h
MB,total,reference,2018,36728.9852,GW.h
NB,total,reference,2018,13989.0808,GW.h
NL,total,reference,2018,41175.1022,GW.h
NS,total,reference,2018,8112.9552,GW.h
NT,total,reference,2018,362.892,GW.h
NU,total,reference,2018,113.9251,GW.h
ON,total,reference,2018,145654.764,GW.h
PE,total,reference,2018,601.7587,GW.h
QC,total,reference,2018,213582.4856,GW.h
SK,total,reference,2018,24050.5669,GW.h
YT,total,reference,2018,437.0484,GW.h
all,total,reference,2019,640317.2815,GW.h
AB,total,reference,2019,85385.1443,GW.h
BC,total,reference,2019,74045.0527,GW.h
MB,total,reference,2019,36616.0251,GW.h
NB,total,reference,2019,12582.5668,GW.h
NL,total,reference,2019,41132.9702,GW.h
NS,total,reference,2019,7747.0961,GW.h
NT,total,reference,2019,363.0231,GW.h
NU,total,reference,2019,113.9251,GW.h
ON,total,reference,2019,146069.159,GW.h
PE,total,reference,2019,601.7587,GW.h
QC,total,reference,2019,210821.4457,GW.h
SK,total,reference,2019,24378.3336,GW.h
YT,total,reference,2019,460.7811,GW.h
all,total,reference,2020,646488.7394,GW.h
AB,total,reference,2020,88637.0455,GW.h
BC,total,reference,2020,74738.8503,GW.h
MB,total,reference,2020,39136.7067,GW.h
NB,total,reference,2020,12564.062,GW.h
NL,total,reference,2020,45300.928,GW.h
NS,total,reference,2020,5892.1293,GW.h
NT,total,reference,2020,364.5081,GW.h
NU,total,reference,2020,116.6777,GW.h
ON,total,reference,2020,142446.952,GW.h
PE,total,reference,2020,706.8787,GW.h
QC,total,reference,2020,211595.6969,GW.h
SK,total,reference,2020,24524.2731,GW.h
YT,total,reference,2020,464.0311,GW.h
all,total,reference,2021,651526.1425,GW.h
AB,total,reference,2021,89939.3992,GW.h
BC,total,reference,2021,75525.6723,GW.h
MB,total,reference,2021,41111.5886,GW.h
NB,total,reference,2021,11827.186,GW.h
NL,total,reference,2021,45306.2448,GW.h
NS,total,reference,2021,5985.9617,GW.h
NT,total,reference,2021,363.023,GW.h
NU,total,reference,2021,116.8087,GW.h
ON,total,reference,2021,142609.5084,GW.h
PE,total,reference,2021,706.8787,GW.h
QC,total,reference,2021,212803.6835,GW.h
SK,total,reference,2021,24775.5313,GW.h
YT,total,reference,2021,454.6563,GW.h
all,total,reference,2022,645504.3886,GW.h
AB,total,reference,2022,90517.9646,GW.h
BC,total,reference,2022,76505.8976,GW.h
MB,total,reference,2022,41217.9716,GW.h
NB,total,reference,2022,11807.4061,GW.h
NL,total,reference,2022,45293.4344,GW.h
NS,total,reference,2022,5961.0615,GW.h
NT,total,reference,2022,364.5081,GW.h
NU,total,reference,2022,119.5757,GW.h
ON,total,reference,2022,134101.2984,GW.h
PE,total,reference,2022,706.8787,GW.h
QC,total,reference,2022,213676.0914,GW.h
SK,total,reference,2022,24777.6004,GW.h
YT,total,reference,2022,454.7001,GW.h
all,total,reference,2023,645544.6809,GW.h
AB,total,reference,2023,90176.4401,GW.h
BC,total,reference,2023,77531.4582,GW.h
MB,total,reference,2023,41219.3266,GW.h
NB,total,reference,2023,11931.6739,GW.h
NL,total,reference,2023,45272.4348,GW.h
NS,total,reference,2023,5972.8638,GW.h
NT,total,reference,2023,364.5081,GW.h
NU,total,reference,2023,120.6298,GW.h
ON,total,reference,2023,132653.8294,GW.h
PE,total,reference,2023,706.8787,GW.h
QC,total,reference,2023,213842.7836,GW.h
SK,total,reference,2023,25288.3938,GW.h
YT,total,reference,2023,463.4601,GW.h
all,total,reference,2024,652857.8852,GW.h
AB,total,reference,2024,91676.3826,GW.h
