province,source,scenario,year,value,unit
AB,total,reference,2016,83994.81,GW.h
BC,total,reference,2016,72740.09,GW.h
MB,total,reference,2016,36572.82,GW.h
NB,total,reference,2016,15245.65,GW.h
NL,total,reference,2016,41347.64,GW.h
NS,total,reference,2016,9845.573,GW.h
NT,total,reference,2016,387.4005,GW.h
NU,total,reference,2016,189.829,GW.h
ON,total,reference,2016,155783.7,GW.h
PE,total,reference,2016,602.653,GW.h
QC,total,reference,2016,206967.6,GW.h
SK,total,reference,2016,24591.85,GW.h
YT,total,reference,2016,444.6677,GW.h
all,total,reference,2017,646395.2,GW.h
AB,total,reference,2017,82738.48,GW.h
BC,total,reference,2017,74917.59,GW.h
MB,total,reference,2017,37046.03,GW.h
NB,total,reference,2017,13226.29,GW.h
NL,total,reference,2017,38718.29,GW.h
NS,total,reference,2017,10054.32,GW.h
NT,total,reference,2017,401.4921,GW.h
NU,total,reference,2017,189.829,GW.h
ON,total,reference,2017,151682.3,GW.h
PE,total,reference,2017,609.1119,GW.h
QC,total,reference,2017,211300.3,GW.h
SK,total,reference,2017,25028.91,GW.h
YT,total,reference,2017,482.1497,GW.h
all,total,reference,2018,648193.7,GW.h
AB,total,reference,2018,81171.27,GW.h
BC,total,reference,2018,74289.85,GW.h
MB,total,reference,2018,36922.79,GW.h
NB,total,reference,2018,12205.1,GW.h
NL,total,reference,2018,42833.25,GW.h
NS,total,reference,2018,9645.35,GW.h
NT,total,reference,2018,349.6729,GW.h
NU,total,reference,2018,237.2484,GW.h
ON,total,reference,2018,151240.2,GW.h
PE,total,reference,2018,651.7555,GW.h
QC,total,reference,2018,213843.8,GW.h
SK,total,reference,2018,24339.09,GW.h
YT,total,reference,2018,464.2834,GW.h
all,total,reference,2019,651220.4,GW.h
AB,total,reference,2019,83050.95,GW.h
BC,total,reference,2019,75004.63,GW.h
MB,total,reference,2019,36920.19,GW.h
NB,total,reference,2019,12192.26,GW.h
NL,total,reference,2019,42814.02,GW.h
NS,total,reference,2019,9632.74,GW.h
NT,total,reference,2019,354.7057,GW.h
NU,total,reference,2019,244.7412,GW.h
ON,total,reference,2019,150709.9,GW.h
PE,total,reference,2019,648.5748,GW.h
QC,total,reference,2019,214884.8,GW.h
SK,total,reference,2019,24242.92,GW.h
YT,total,reference,2019,520.002,GW.h
all,total,reference,2020,656262.4,GW.h
AB,total,reference,2020,82253.24,GW.h
BC,total,reference,2020,75357.45,GW.h
MB,total,reference,2020,39047.65,GW.h
NB,total,reference,2020,12275.4,GW.h
NL,total,reference,2020,44661.04,GW.h
NS,total,reference,2020,9368.286,GW.h
NT,total,reference,2020,357.4666,GW.h
NU,total,reference,2020,256.2098,GW.h
ON,total,reference,2020,150793.9,GW.h
PE,total,reference,2020,659.1104,GW.h
QC,total,reference,2020,215410.8,GW.h
SK,total,reference,2020,25289.77,GW.h
YT,total,reference,2020,532.0476,GW.h
all,total,reference,2021,658178.5,GW.h
AB,total,reference,2021,84676.58,GW.h
BC,total,reference,2021,75771.92,GW.h
MB,total,reference,2021,41716.05,GW.h
NB,total,reference,2021,11479.1,GW.h
NL,total,reference,2021,46141.34,GW.h
NS,total,reference,2021,7616.786,GW.h
NT,total,reference,2021,357.6418,GW.h
NU,total,reference,2021,260.0688,GW.h
