province,sector,source,scenario,year,value,unit
NL,total,total,reference,2014,158.3532,Petajoules
NS,total,total,reference,2014,164.0112,Petajoules
NT,total,total,reference,2014,19.6285,Petajoules
NU,total,total,reference,2014,5.6973,Petajoules
ON,total,total,reference,2014,3098.771,Petajoules
PE,total,total,reference,2014,25.2891,Petajoules
QC,total,total,reference,2014,1787.8456,Petajoules
SK,total,total,reference,2014,672.5412,Petajoules
YT,total,total,reference,2014,4.2972,Petajoules
all,total,total,reference,2015,11216.6781,Petajoules
AB,total,total,reference,2015,3630.0019,Petajoules
BC,total,total,reference,2015,1168.4396,Petajoules
MB,total,total,reference,2015,298.7904,Petajoules
NB,total,total,reference,2015,219.614,Petajoules
NL,total,total,reference,2015,158.9125,Petajoules
NS,total,total,reference,2015,169.5959,Petajoules
NT,total,total,reference,2015,21.4241,Petajoules
NU,total,total,reference,2015,5.0357,Petajoules
ON,total,total,reference,2015,3049.8534,Petajoules
PE,total,total,reference,2015,25.7455,Petajoules
QC,total,total,reference,2015,1778.2367,Petajoules
SK,total,total,reference,2015,687.0251,Petajoules
YT,total,total,reference,2015,4.0018,Petajoules
all,total,total,reference,2016,11313.2709,Petajoules
AB,total,total,reference,2016,3694.7151,Petajoules
BC,total,total,reference,2016,1180.7029,Petajoules
MB,total,total,reference,2016,312.0894,Petajoules
NB,total,total,reference,2016,219.7561,Petajoules
NL,total,total,reference,2016,161.6367,Petajoules
NS,total,total,reference,2016,163.501,Petajoules
NT,total,total,reference,2016,21.9548,Petajoules
NU,total,total,reference,2016,5.2093,Petajoules
ON,total,total,reference,2016,3057.3877,Petajoules
PE,total,total,reference,2016,25.2771,Petajoules
QC,total,total,reference,2016,1779.2059,Petajoules
SK,total,total,reference,2016,687.6037,Petajoules
YT,total,total,reference,2016,4.2301,Petajoules
all,total,total,reference,2017,11696.9235,Petajoules
AB,total,total,reference,2017,3957.4222,Petajoules
BC,total,total,reference,2017,1198.9702,Petajoules
MB,total,total,reference,2017,315.7463,Petajoules
NB,total,total,reference,2017,223.8219,Petajoules
NL,total,total,reference,2017,159.8122,Petajoules
NS,total,total,reference,2017,166.0684,Petajoules
NT,total,total,reference,2017,21.218,Petajoules
NU,total,total,reference,2017,5.5736,Petajoules
ON,total,total,reference,2017,3113.8146,Petajoules
PE,total,total,reference,2017,25.5075,Petajoules
QC,total,total,reference,2017,1799.4651,Petajoules
SK,total,total,reference,2017,705.5328,Petajoules
YT,total,total,reference,2017,3.97,Petajoules
all,total,total,reference,2018,11847.9447,Petajoules
AB,total,total,reference,2018,4042.9377,Petajoules
BC,total,total,reference,2018,1206.5757,Petajoules
MB,total,total,reference,2018,317.9682,Petajoules
NB,total,total,reference,2018,224.8983,Petajoules
NL,total,total,reference,2018,163.9899,Petajoules
NS,total,total,reference,2018,165.4724,Petajoules
NT,total,total,reference,2018,20.1596,Petajoules
NU,total,total,reference,2018,5.6338,Petajoules
ON,total,total,reference,2018,3155.2099,Petajoules
PE,total,total,reference,2018,25.6576,Petajoules
QC,total,total,reference,2018,1804.7479,Petajoules
SK,total,total,reference,2018,711.1804,Petajoules
YT,total,total,reference,2018,3.5141,Petajoules
all,total,total,reference,2019,11949.9234,Petajoules
AB,total,total,reference,2019,4088.3116,Petajoules
BC,total,total,reference,2019,1214.7382,Petajoules
MB,total,total,reference,2019,318.6804,Petajoules
NB,total,total,reference,2019,230.9226,Petajoules
NL,total,total,reference,2019,169.0324,Petajoules
NS,total,total,reference,2019,164.1861,Petajoules
NT,total,total,reference,2019,19.3298,Petajoules
NU,total,total,reference,2019,5.6382,Petajoules
ON,total,total,reference,2019,3186.6868,Petajoules
PE,total,total,reference,2019,25.6334,Petajoules
QC,total,total,reference,2019,1816.2129,Petajoules
SK,total,total,reference,2019,706.4247,Petajoules
YT,total,total,reference,2019,4.126,Petajoules
all,total,total,reference,2020,12029.8294,Petajoules
AB,total,total,reference,2020,4159.8235,Petajoules
BC,total,total,reference,2020,1217.7665,Petajoules
MB,total,total,reference,2020,318.6994,Petajoules
NB,total,total,reference,2020,231.6735,Petajoules
NL,total,total,reference,2020,167.2524,Petajoules
NS,total,total,reference,2020,162.3578,Petajoules
NT,total,total,reference,2020,18.6191,Petajoules
NU,total,total,reference,2020,5.6317,Petajoules
ON,total,total,reference,2020,3191.0272,Petajoules
PE,total,total,reference,2020,25.6384,Petajoules
QC,total,total,reference,2020,1819.2039,Petajoules
SK,total,total,reference,2020,707.5305,Petajoules
YT,total,total,reference,2020,4.6052,Petajoules
all,total,total,reference,2021,12086.3798,Petajoules
AB,total,total,reference,2021,4212.442,Petajoules
BC,total,total,reference,2021,1224.3451,Petajoules
MB,total,total,reference,2021,318.2177,Petajoules
NB,total,total,reference,2021,230.5796,Petajoules
NL,total,total,reference,2021,167.6972,Petajoules
NS,total,total,reference,2021,160.9192,Petajoules
NT,total,total,reference,2021,18.0168,Petajoules
NU,total,total,reference,2021,6.2763,Petajoules
ON,total,total,reference,2021,3188.6867,Petajoules
PE,total,total,reference,2021,25.4828,Petajoules
QC,total,total,reference,2021,1819.4211,Petajoules
SK,total,total,reference,2021,709.625,Petajoules
YT,total,total,reference,2021,4.6692,Petajoules
all,total,total,reference,2022,12072.0903,Petajoules
AB,total,total,reference,2022,4217.4472,Petajoules
BC,total,total,reference,2022,1223.1856,Petajoules
MB,total,total,reference,2022,316.847,Petajoules
NB,total,total,reference,2022,225.475,Petajoules
NL,total,total,reference,2022,170.3639,Petajoules
NS,total,total,reference,2022,159.7792,Petajoules
NT,total,total,reference,2022,17.5316,Petajoules
NU,total,total,reference,2022,6.328,Petajoules
ON,total,total,reference,2022,3178.5913,Petajoules
PE,total,total,reference,2022,25.3433,Petajoules
QC,total,total,reference,2022,1815.8927,Petajoules
SK,total,total,reference,2022,710.3505,Petajoules
YT,total,total,reference,2022,4.956,Petajoules
all,total,total,reference,2023,12063.9024,Petajoules
AB,total,total,reference,2023,4228.0628,Petajoules
BC,total,total,reference,2023,1221.2417,Petajoules
MB,total,total,reference,2023,315.8821,Petajoules
NB,total,total,reference,2023,225.9814,Petajoules
NL,total,total,reference,2023,170.466,Petajoules
NS,total,total,reference,2023,158.6042,Petajoules
NT,total,total,reference,2023,17.1411,Petajoules
NU,total,total,reference,2023,6.3792,Petajoules
ON,total,total,reference,2023,3167.9652,Petajoules
PE,total,total,reference,2023,25.1959,Petajoules
QC,total,total,reference,2023,1811.7707,Petajoules
SK,total,total,reference,2023,710.231,Petajoules
YT,total,total,reference,2023,4.9811,Petajoules
all,total,total,reference,2024,12067.6423,Petajoules
AB,total,total,reference,2024,4245.7994,Petajoules
BC,total,total,reference,2024,1221.5954,Petajoules
MB,total,total,reference,2024,314.6156,Petajoules
NB,total,total,reference,2024,225.3441,Petajoules
NL,total,total,reference,2024,168.0383,Petajoules
NS,total,total,reference,2024,157.3226,Petajoules
NT,total,total,reference,2024,16.823,Petajoules
NU,total,total,reference,2024,6.405,Petajoules
ON,total,total,reference,2024,3159.8316,Petajoules
PE,total,total,reference,2024,25.0925,Petajoules
QC,total,total,reference,2024,1807.7099,Petajoules
SK,total,total,reference,2024,711.2188,Petajoules
YT,total,total,reference,2024,7.8451,Petajoules
all,total,total,reference,2025,12069.7982,Petajoules
AB,total,total,reference,2025,4268.4014,Petajoules
BC,total,total,reference,2025,1217.9119,Petajoules
MB,total,total,reference,2025,313.4971,Petajoules
NB,total,total,reference,2025,225.6322,Petajoules
NL,total,total,reference,2025,164.8201,Petajoules
NS,total,total,reference,2025,156.1397,Petajoules
NT,total,total,reference,2025,16.5465,Petajoules
NU,total,total,reference,2025,6.3959,Petajoules
ON,total,total,reference,2025,3150.602,Petajoules
PE,total,total,reference,2025,25.0061,Petajoules
QC,total,total,reference,2025,1802.9994,Petajoules
SK,total,total,reference,2025,712.8901,Petajoules
YT,total,total,reference,2025,8.9564,Petajoules
all,total,total,reference,2026,12065.6008,Petajoules
AB,total,total,reference,2026,4297.5333,Petajoules
BC,total,total,reference,2026,1211.4004,Petajoules
MB,total,total,reference,2026,312.3793,Petajoules
NB,total,total,reference,2026,223.6148,Petajoules
NL,total,total,reference,2026,160.4184,Petajoules
NS,total,total,reference,2026,154.8264,Petajoules
NT,total,total,reference,2026,16.3022,Petajoules
NU,total,total,reference,2026,6.391,Petajoules
ON,total,total,reference,2026,3136.5033,Petajoules
PE,total,total,reference,2026,24.8699,Petajoules
QC,total,total,reference,2026,1799.7781,Petajoules
SK,total,total,reference,2026,713.0661,Petajoules
YT,total,total,reference,2026,8.518,Petajoules
all,total,total,reference,2027,12061.1466,Petajoules
AB,total,total,reference,2027,4308.8057,Petajoules
BC,total,total,reference,2027,1212.6959,Petajoules
MB,total,total,reference,2027,311.5336,Petajoules
NB,total,total,reference,2027,220.9019,Petajoules
NL,total,total,reference,2027,161.0958,Petajoules
NS,total,total,reference,2027,153.8035,Petajoules
NT,total,total,reference,2027,16.0731,Petajoules
NU,total,total,reference,2027,6.3904,Petajoules
ON,total,total,reference,2027,3126.1209,Petajoules
PE,total,total,reference,2027,24.7609,Petajoules
QC,total,total,reference,2027,1797.4736,Petajoules
SK,total,total,reference,2027,713.4493,Petajoules
YT,total,total,reference,2027,8.0422,Petajoules
all,total,total,reference,2028,12048.9071,Petajoules
AB,total,total,reference,2028,4318.754,Petajoules
