province,sector,source,scenario,year,value,unit
all,total,total,reference,2005,10430.5872,Petajoules
AB,total,total,reference,2005,2734.2053,Petajoules
BC,total,total,reference,2005,1249.283,Petajoules
MB,total,total,reference,2005,290.3687,Petajoules
NB,total,total,reference,2005,249.1699,Petajoules
NL,total,total,reference,2005,164.8522,Petajoules
NS,total,total,reference,2005,202.2353,Petajoules
NT,total,total,reference,2005,19.1266,Petajoules
NU,total,total,reference,2005,3.4045,Petajoules
ON,total,total,reference,2005,3060.3063,Petajoules
PE,total,total,reference,2005,25.5654,Petajoules
QC,total,total,reference,2005,1863.165,Petajoules
SK,total,total,reference,2005,561.1274,Petajoules
YT,total,total,reference,2005,7.8096,Petajoules
all,total,total,reference,2006,10403.6111,Petajoules
AB,total,total,reference,2006,2884.4468,Petajoules
BC,total,total,reference,2006,1224.5686,Petajoules
MB,total,total,reference,2006,274.7413,Petajoules
NB,total,total,reference,2006,250.8803,Petajoules
NL,total,total,reference,2006,167.4271,Petajoules
NS,total,total,reference,2006,196.3061,Petajoules
NT,total,total,reference,2006,18.3506,Petajoules
NU,total,total,reference,2006,4.6478,Petajoules
ON,total,total,reference,2006,2963.4873,Petajoules
PE,total,total,reference,2006,24.5227,Petajoules
QC,total,total,reference,2006,1844.7227,Petajoules
SK,total,total,reference,2006,543.8642,Petajoules
YT,total,total,reference,2006,8.5217,Petajoules
all,total,total,reference,2007,10795.2102,Petajoules
AB,total,total,reference,2007,3041.8902,Petajoules
BC,total,total,reference,2007,1236.3819,Petajoules
MB,total,total,reference,2007,290.5932,Petajoules
NB,total,total,reference,2007,265.6283,Petajoules
NL,total,total,reference,2007,182.2451,Petajoules
NS,total,total,reference,2007,211.3956,Petajoules
NT,total,total,reference,2007,23.8053,Petajoules
NU,total,total,reference,2007,5.2118,Petajoules
ON,total,total,reference,2007,3025.0288,Petajoules
PE,total,total,reference,2007,25.988,Petajoules
QC,total,total,reference,2007,1902.7661,Petajoules
SK,total,total,reference,2007,575.5953,Petajoules
YT,total,total,reference,2007,8.7491,Petajoules
all,total,total,reference,2008,10545.4404,Petajoules
AB,total,total,reference,2008,2957.5197,Petajoules
BC,total,total,reference,2008,1162.0007,Petajoules
MB,total,total,reference,2008,289.7225,Petajoules
NB,total,total,reference,2008,246.4621,Petajoules
NL,total,total,reference,2008,175.2796,Petajoules
NS,total,total,reference,2008,204.3973,Petajoules
NT,total,total,reference,2008,19.7592,Petajoules
NU,total,total,reference,2008,4.7815,Petajoules
ON,total,total,reference,2008,3011.9601,Petajoules
PE,total,total,reference,2008,25.0765,Petajoules
QC,total,total,reference,2008,1851.5591,Petajoules
SK,total,total,reference,2008,588.2435,Petajoules
YT,total,total,reference,2008,8.7743,Petajoules
all,total,total,reference,2009,10173.7468,Petajoules
AB,total,total,reference,2009,2939.1046,Petajoules
BC,total,total,reference,2009,1117.7609,Petajoules
MB,total,total,reference,2009,281.6674,Petajoules
NB,total,total,reference,2009,251.5199,Petajoules
NL,total,total,reference,2009,165.1832,Petajoules
NS,total,total,reference,2009,201.7679,Petajoules
NT,total,total,reference,2009,14.9831,Petajoules
NU,total,total,reference,2009,4.6287,Petajoules
ON,total,total,reference,2009,2771.7264,Petajoules
PE,total,total,reference,2009,25.2255,Petajoules
QC,total,total,reference,2009,1795.7959,Petajoules
SK,total,total,reference,2009,596.1511,Petajoules
YT,total,total,reference,2009,8.349,Petajoules
all,total,total,reference,2010,10489.5022,Petajoules
AB,total,total,reference,2010,3104.7967,Petajoules
BC,total,total,reference,2010,1133.5094,Petajoules
MB,total,total,reference,2010,278.2607,Petajoules
NB,total,total,reference,2010,278.0009,Petajoules
NL,total,total,reference,2010,164.5535,Petajoules
NS,total,total,reference,2010,203.6784,Petajoules
NT,total,total,reference,2010,16.484,Petajoules
NU,total,total,reference,2010,4.8933,Petajoules
ON,total,total,reference,2010,2902.6776,Petajoules
PE,total,total,reference,2010,25.8737,Petajoules
