province,sector,source,scenario,year,value,unit
NL,total,total,reference,2014,157.0665,Petajoules
NS,total,total,reference,2014,166.9764,Petajoules
NT,total,total,reference,2014,4.1141,Petajoules
NU,total,total,reference,2014,19.0122,Petajoules
ON,total,total,reference,2014,3136.1001,Petajoules
PE,total,total,reference,2014,26.8284,Petajoules
QC,total,total,reference,2014,1852.5134,Petajoules
SK,total,total,reference,2014,673.9397,Petajoules
YT,total,total,reference,2014,4.2559,Petajoules
all,total,total,reference,2015,11417.0355,Petajoules
AB,total,total,reference,2015,3717.0167,Petajoules
BC,total,total,reference,2015,1209.128,Petajoules
MB,total,total,reference,2015,313.4599,Petajoules
NB,total,total,reference,2015,228.9747,Petajoules
NL,total,total,reference,2015,146.7394,Petajoules
NS,total,total,reference,2015,169.9533,Petajoules
NT,total,total,reference,2015,4.1538,Petajoules
NU,total,total,reference,2015,18.1104,Petajoules
ON,total,total,reference,2015,3067.2017,Petajoules
PE,total,total,reference,2015,27.8422,Petajoules
QC,total,total,reference,2015,1857.7661,Petajoules
SK,total,total,reference,2015,651.8793,Petajoules
YT,total,total,reference,2015,4.8087,Petajoules
all,total,total,reference,2016,11529.9738,Petajoules
AB,total,total,reference,2016,3803.5165,Petajoules
BC,total,total,reference,2016,1251.5563,Petajoules
MB,total,total,reference,2016,309.3699,Petajoules
NB,total,total,reference,2016,229.6601,Petajoules
NL,total,total,reference,2016,146.8137,Petajoules
NS,total,total,reference,2016,170.42,Petajoules
NT,total,total,reference,2016,4.3491,Petajoules
NU,total,total,reference,2016,18.1706,Petajoules
ON,total,total,reference,2016,3005.3068,Petajoules
PE,total,total,reference,2016,28.2783,Petajoules
QC,total,total,reference,2016,1884.1822,Petajoules
SK,total,total,reference,2016,673.7465,Petajoules
YT,total,total,reference,2016,4.6035,Petajoules
all,total,total,reference,2017,11729.3525,Petajoules
AB,total,total,reference,2017,3997.2447,Petajoules
BC,total,total,reference,2017,1260.7928,Petajoules
MB,total,total,reference,2017,320.5457,Petajoules
NB,total,total,reference,2017,231.6094,Petajoules
NL,total,total,reference,2017,145.6081,Petajoules
NS,total,total,reference,2017,171.4351,Petajoules
NT,total,total,reference,2017,4.6584,Petajoules
NU,total,total,reference,2017,18.089,Petajoules
ON,total,total,reference,2017,3052.7202,Petajoules
PE,total,total,reference,2017,27.454,Petajoules
QC,total,total,reference,2017,1843.6275,Petajoules
SK,total,total,reference,2017,651.0639,Petajoules
YT,total,total,reference,2017,4.5031,Petajoules
all,total,total,reference,2018,11859.6801,Petajoules
AB,total,total,reference,2018,4066.8437,Petajoules
BC,total,total,reference,2018,1265.7473,Petajoules
MB,total,total,reference,2018,323.3933,Petajoules
NB,total,total,reference,2018,232.9842,Petajoules
NL,total,total,reference,2018,146.1704,Petajoules
NS,total,total,reference,2018,170.4661,Petajoules
NT,total,total,reference,2018,4.7246,Petajoules
NU,total,total,reference,2018,17.7952,Petajoules
ON,total,total,reference,2018,3088.8215,Petajoules
PE,total,total,reference,2018,27.5399,Petajoules
QC,total,total,reference,2018,1847.0374,Petajoules
SK,total,total,reference,2018,662.6514,Petajoules
YT,total,total,reference,2018,5.5046,Petajoules
all,total,total,reference,2019,11961.1686,Petajoules
AB,total,total,reference,2019,4121.3313,Petajoules
BC,total,total,reference,2019,1272.0397,Petajoules
MB,total,total,reference,2019,324.5136,Petajoules
NB,total,total,reference,2019,237.4083,Petajoules
NL,total,total,reference,2019,147.8566,Petajoules
NS,total,total,reference,2019,169.4413,Petajoules
NT,total,total,reference,2019,4.7694,Petajoules
NU,total,total,reference,2019,17.5369,Petajoules
ON,total,total,reference,2019,3111.8412,Petajoules
PE,total,total,reference,2019,27.601,Petajoules
QC,total,total,reference,2019,1852.5213,Petajoules
SK,total,total,reference,2019,665.8094,Petajoules
YT,total,total,reference,2019,8.4986,Petajoules
all,total,total,reference,2020,12038.7361,Petajoules
AB,total,total,reference,2020,4176.1297,Petajoules
BC,total,total,reference,2020,1273.2365,Petajoules
MB,total,total,reference,2020,327.0707,Petajoules
NB,total,total,reference,2020,238.4122,Petajoules
NL,total,total,reference,2020,148.8697,Petajoules
NS,total,total,reference,2020,168.3265,Petajoules
NT,total,total,reference,2020,4.9125,Petajoules
NU,total,total,reference,2020,17.3341,Petajoules
ON,total,total,reference,2020,3118.7452,Petajoules
PE,total,total,reference,2020,27.7202,Petajoules
QC,total,total,reference,2020,1853.3579,Petajoules
