province,type,scenario,year,value,unit
all,Total,reference,2005,482.008908471543,Million cubic metres Per Day
AB,Total,reference,2005,374.48994328141,Million cubic metres Per Day
BC,Total,reference,2005,74.3033354382169,Million cubic metres Per Day
MB,Total,reference,2005,0,Million cubic metres Per Day
NB,Total,reference,2005,0.0566336398157141,Million cubic metres Per Day
NL,Total,reference,2005,0,Million cubic metres Per Day
NS,Total,reference,2005,10.9586093043407,Million cubic metres Per Day
NT,Total,reference,2005,1.16098961622214,Million cubic metres Per Day
NU,Total,reference,2005,0,Million cubic metres Per Day
ON,Total,reference,2005,0.707920497696427,Million cubic metres Per Day
PE,Total,reference,2005,0,Million cubic metres Per Day
QC,Total,reference,2005,0,Million cubic metres Per Day
SK,Total,reference,2005,19.9067243952235,Million cubic metres Per Day
YT,Total,reference,2005,0.424752298617856,Million cubic metres Per Day
all,Total,reference,2006,484.387521343803,Million cubic metres Per Day
AB,Total,reference,2006,378.879050367128,Million cubic metres Per Day
BC,Total,reference,2006,73.7369990400598,Million cubic metres Per Day
MB,Total,reference,2006,0,Million cubic metres Per Day
NB,Total,reference,2006,0.0566336398157141,Million cubic metres Per Day
NL,Total,reference,2006,0,Million cubic metres Per Day
NS,Total,reference,2006,9.88257014784211,Million cubic metres Per Day
NT,Total,reference,2006,0.707920497696427,Million cubic metres Per Day
NU,Total,reference,2006,0,Million cubic metres Per Day
ON,Total,reference,2006,0.707920497696427,Million cubic metres Per Day
PE,Total,reference,2006,0,Million cubic metres Per Day
QC,Total,reference,2006,0,Million cubic metres Per Day
SK,Total,reference,2006,20.1049421345785,Million cubic metres Per Day
YT,Total,reference,2006,0.311485018986428,Million cubic metres Per Day
all,Total,reference,2007,476.572079049234,Million cubic metres Per Day
AB,Total,reference,2007,370.752123053573,Million cubic metres Per Day
BC,Total,reference,2007,74.0201672391384,Million cubic metres Per Day
MB,Total,reference,2007,0,Million cubic metres Per Day
NB,Total,reference,2007,0.424752298617856,Million cubic metres Per Day
NL,Total,reference,2007,0,Million cubic metres Per Day
NS,Total,reference,2007,11.2417775034193,Million cubic metres Per Day
NT,Total,reference,2007,0.707920497696427,Million cubic metres Per Day
NU,Total,reference,2007,0,Million cubic metres Per Day
ON,Total,reference,2007,0.594653218064998,Million cubic metres Per Day
PE,Total,reference,2007,0,Million cubic metres Per Day
QC,Total,reference,2007,0,Million cubic metres Per Day
SK,Total,reference,2007,18.63246749937,Million cubic metres Per Day
YT,Total,reference,2007,0.198217739354999,Million cubic metres Per Day
all,Total,reference,2008,456.835255573458,Million cubic metres Per Day
AB,Total,reference,2008,350.024210881021,Million cubic metres Per Day
BC,Total,reference,2008,75.7191764336098,Million cubic metres Per Day
MB,Total,reference,2008,0,Million cubic metres Per Day
NB,Total,reference,2008,0.764554137512141,Million cubic metres Per Day
NL,Total,reference,2008,0,Million cubic metres Per Day
NS,Total,reference,2008,11.7231634418528,Million cubic metres Per Day
NT,Total,reference,2008,0.509702758341427,Million cubic metres Per Day
NU,Total,reference,2008,0,Million cubic metres Per Day
ON,Total,reference,2008,0.538019578249284,Million cubic metres Per Day
PE,Total,reference,2008,0,Million cubic metres Per Day
QC,Total,reference,2008,0,Million cubic metres Per Day
SK,Total,reference,2008,17.4148442433321,Million cubic metres Per Day
YT,Total,reference,2008,0.141584099539285,Million cubic metres Per Day
all,Total,reference,2009,427.782198347997,Million cubic metres Per Day
AB,Total,reference,2009,325.077092542199,Million cubic metres Per Day
BC,Total,reference,2009,75.6908596137019,Million cubic metres Per Day
MB,Total,reference,2009,0,Million cubic metres Per Day
NB,Total,reference,2009,0.651286857880712,Million cubic metres Per Day
