province,type,scenario,year,value,unit
all,Total,reference,2005,411.637631,Thousand cubic metres
AB,Total,reference,2005,282.2112535,Thousand cubic metres
BC,Total,reference,2005,6.621293561,Thousand cubic metres
MB,Total,reference,2005,2.203485138,Thousand cubic metres
NB,Total,reference,2005,0,Thousand cubic metres
NL,Total,reference,2005,48.47,Thousand cubic metres
NS,Total,reference,2005,2.054115916,Thousand cubic metres
NT,Total,reference,2005,2.988,Thousand cubic metres
NU,Total,reference,2005,0,Thousand cubic metres
ON,Total,reference,2005,0.38,Thousand cubic metres
PE,Total,reference,2005,0,Thousand cubic metres
QC,Total,reference,2005,0,Thousand cubic metres
SK,Total,reference,2005,66.70948282,Thousand cubic metres
YT,Total,reference,2005,0,Thousand cubic metres
all,Total,reference,2006,440.4258167,Thousand cubic metres
AB,Total,reference,2006,308.8271348,Thousand cubic metres
BC,Total,reference,2006,6.55120999,Thousand cubic metres
MB,Total,reference,2006,3.398161742,Thousand cubic metres
NB,Total,reference,2006,0,Thousand cubic metres
NL,Total,reference,2006,48.28,Thousand cubic metres
NS,Total,reference,2006,1.912617219,Thousand cubic metres
NT,Total,reference,2006,2.966,Thousand cubic metres
NU,Total,reference,2006,0,Thousand cubic metres
ON,Total,reference,2006,0.34,Thousand cubic metres
PE,Total,reference,2006,0,Thousand cubic metres
QC,Total,reference,2006,0,Thousand cubic metres
SK,Total,reference,2006,68.15069288,Thousand cubic metres
YT,Total,reference,2006,0,Thousand cubic metres
all,Total,reference,2007,457.7678065,Thousand cubic metres
AB,Total,reference,2007,316.6159511,Thousand cubic metres
BC,Total,reference,2007,5.989442,Thousand cubic metres
MB,Total,reference,2007,3.531510903,Thousand cubic metres
NB,Total,reference,2007,0,Thousand cubic metres
NL,Total,reference,2007,58.58,Thousand cubic metres
NS,Total,reference,2007,1.885589378,Thousand cubic metres
NT,Total,reference,2007,2.791,Thousand cubic metres
NU,Total,reference,2007,0,Thousand cubic metres
ON,Total,reference,2007,0.3,Thousand cubic metres
PE,Total,reference,2007,0,Thousand cubic metres
QC,Total,reference,2007,0,Thousand cubic metres
SK,Total,reference,2007,68.07431307,Thousand cubic metres
YT,Total,reference,2007,0,Thousand cubic metres
all,Total,reference,2008,448.1704828,Thousand cubic metres
AB,Total,reference,2008,309.7583057,Thousand cubic metres
BC,Total,reference,2008,5.555813219,Thousand cubic metres
MB,Total,reference,2008,3.746583333,Thousand cubic metres
NB,Total,reference,2008,0,Thousand cubic metres
NL,Total,reference,2008,54.55,Thousand cubic metres
NS,Total,reference,2008,1.753629919,Thousand cubic metres
NT,Total,reference,2008,2.573,Thousand cubic metres
NU,Total,reference,2008,0,Thousand cubic metres
ON,Total,reference,2008,0.27,Thousand cubic metres
PE,Total,reference,2008,0,Thousand cubic metres
QC,Total,reference,2008,0,Thousand cubic metres
SK,Total,reference,2008,69.9631506,Thousand cubic metres
YT,Total,reference,2008,0,Thousand cubic metres
all,Total,reference,2009,454.5921699,Thousand cubic metres
AB,Total,reference,2009,330.9972044,Thousand cubic metres
BC,Total,reference,2009,5.471254075,Thousand cubic metres
MB,Total,reference,2009,4.116224758,Thousand cubic metres
NB,Total,reference,2009,0,Thousand cubic metres
NL,Total,reference,2009,42.55,Thousand cubic metres
NS,Total,reference,2009,1.125630084,Thousand cubic metres
NT,Total,reference,2009,2.471,Thousand cubic metres
NU,Total,reference,2009,0,Thousand cubic metres
ON,Total,reference,2009,0.25,Thousand cubic metres
PE,Total,reference,2009,0,Thousand cubic metres
QC,Total,reference,2009,0,Thousand cubic metres
SK,Total,reference,2009,67.61085656,Thousand cubic metres
YT,Total,reference,2009,0,Thousand cubic metres
all,Total,reference,2010,473.6374341,Thousand cubic metres
AB,Total,reference,2010,348.7798022,Thousand cubic metres
BC,Total,reference,2010,5.287760442,Thousand cubic metres
MB,Total,reference,2010,4.763684668,Thousand cubic metres
NB,Total,reference,2010,0,Thousand cubic metres
NL,Total,reference,2010,43.85,Thousand cubic metres
NS,Total,reference,2010,1.067718801,Thousand cubic metres
NT,Total,reference,2010,2.393,Thousand cubic metres
NU,Total,reference,2010,0,Thousand cubic metres
ON,Total,reference,2010,0.24,Thousand cubic metres
PE,Total,reference,2010,0,Thousand cubic metres
QC,Total,reference,2010,0,Thousand cubic metres
SK,Total,reference,2010,67.25546807,Thousand cubic metres
YT,Total,reference,2010,0,Thousand cubic metres
all,Total,reference,2011,498.7655275,Thousand cubic metres
AB,Total,reference,2011,373.669201,Thousand cubic metres
BC,Total,reference,2011,5.694857089,Thousand cubic metres
MB,Total,reference,2011,6.462271509,Thousand cubic metres
NB,Total,reference,2011,0,Thousand cubic metres
NL,Total,reference,2011,42.14,Thousand cubic metres
NS,Total,reference,2011,0.86001493,Thousand cubic metres
NT,Total,reference,2011,1.672,Thousand cubic metres
NU,Total,reference,2011,0,Thousand cubic metres
ON,Total,reference,2011,0.22,Thousand cubic metres
PE,Total,reference,2011,0,Thousand cubic metres
QC,Total,reference,2011,0,Thousand cubic metres
SK,Total,reference,2011,68.047183,Thousand cubic metres
