province,type,scenario,year,value,unit
all,Total,reference,2005,412.3215441,Thousand cubic metres
AB,Total,reference,2005,282.2086041,Thousand cubic metres
BC,Total,reference,2005,7.286980548,Thousand cubic metres
MB,Total,reference,2005,2.208594521,Thousand cubic metres
NB,Total,reference,2005,0,Thousand cubic metres
NL,Total,reference,2005,48.46688219,Thousand cubic metres
NS,Total,reference,2005,2.05460411,Thousand cubic metres
NT,Total,reference,2005,2.985887671,Thousand cubic metres
NU,Total,reference,2005,0,Thousand cubic metres
ON,Total,reference,2005,0.384510416,Thousand cubic metres
PE,Total,reference,2005,0,Thousand cubic metres
QC,Total,reference,2005,0,Thousand cubic metres
SK,Total,reference,2005,66.73305404,Thousand cubic metres
YT,Total,reference,2005,0,Thousand cubic metres
all,Total,reference,2006,440.2151901,Thousand cubic metres
AB,Total,reference,2006,308.9046079,Thousand cubic metres
BC,Total,reference,2006,6.622195616,Thousand cubic metres
MB,Total,reference,2006,3.015890411,Thousand cubic metres
NB,Total,reference,2006,0,Thousand cubic metres
NL,Total,reference,2006,48.27784658,Thousand cubic metres
NS,Total,reference,2006,1.912717808,Thousand cubic metres
NT,Total,reference,2006,2.966375342,Thousand cubic metres
NU,Total,reference,2006,0,Thousand cubic metres
ON,Total,reference,2006,0.354415952,Thousand cubic metres
PE,Total,reference,2006,0,Thousand cubic metres
QC,Total,reference,2006,0,Thousand cubic metres
SK,Total,reference,2006,68.17403042,Thousand cubic metres
YT,Total,reference,2006,0,Thousand cubic metres
all,Total,reference,2007,457.9566787,Thousand cubic metres
AB,Total,reference,2007,316.6441177,Thousand cubic metres
BC,Total,reference,2007,6.133994247,Thousand cubic metres
MB,Total,reference,2007,3.531780822,Thousand cubic metres
NB,Total,reference,2007,0,Thousand cubic metres
NL,Total,reference,2007,58.5769863,Thousand cubic metres
NS,Total,reference,2007,1.885550137,Thousand cubic metres
NT,Total,reference,2007,2.786027397,Thousand cubic metres
NU,Total,reference,2007,0,Thousand cubic metres
ON,Total,reference,2007,0.336695154,Thousand cubic metres
PE,Total,reference,2007,0,Thousand cubic metres
QC,Total,reference,2007,0,Thousand cubic metres
SK,Total,reference,2007,68.09849602,Thousand cubic metres
YT,Total,reference,2007,0,Thousand cubic metres
all,Total,reference,2008,448.2271951,Thousand cubic metres
AB,Total,reference,2008,309.7823281,Thousand cubic metres
BC,Total,reference,2008,5.560362548,Thousand cubic metres
MB,Total,reference,2008,3.73890411,Thousand cubic metres
NB,Total,reference,2008,0,Thousand cubic metres
NL,Total,reference,2008,54.55452055,Thousand cubic metres
NS,Total,reference,2008,1.753721858,Thousand cubic metres
NT,Total,reference,2008,2.579726027,Thousand cubic metres
NU,Total,reference,2008,0,Thousand cubic metres
ON,Total,reference,2008,0.269589041,Thousand cubic metres
PE,Total,reference,2008,0,Thousand cubic metres
QC,Total,reference,2008,0,Thousand cubic metres
SK,Total,reference,2008,69.98804286,Thousand cubic metres
YT,Total,reference,2008,0,Thousand cubic metres
all,Total,reference,2009,454.580812,Thousand cubic metres
AB,Total,reference,2009,331.0152841,Thousand cubic metres
BC,Total,reference,2009,5.459804384,Thousand cubic metres
MB,Total,reference,2009,4.076986301,Thousand cubic metres
NB,Total,reference,2009,0,Thousand cubic metres
