province,type,scenario,year,value,unit
SK,Total,reference,2012,12.06439697,Million cubic metres Per Day
YT,Total,reference,2012,0.06068240952,Million cubic metres Per Day
all,Total,reference,2013,396.0618309,Million cubic metres Per Day
AB,Total,reference,2013,273.1352949,Million cubic metres Per Day
BC,Total,reference,2013,105.4347939,Million cubic metres Per Day
MB,Total,reference,2013,0,Million cubic metres Per Day
NB,Total,reference,2013,0.3048935732,Million cubic metres Per Day
NL,Total,reference,2013,0,Million cubic metres Per Day
NS,Total,reference,2013,4.832335208,Million cubic metres Per Day
NT,Total,reference,2013,0.3410777804,Million cubic metres Per Day
NU,Total,reference,2013,0,Million cubic metres Per Day
ON,Total,reference,2013,0.3464850043,Million cubic metres Per Day
PE,Total,reference,2013,0,Million cubic metres Per Day
QC,Total,reference,2013,0,Million cubic metres Per Day
SK,Total,reference,2013,11.66695047,Million cubic metres Per Day
YT,Total,reference,2013,0,Million cubic metres Per Day
all,Total,reference,2014,413.7976812,Million cubic metres Per Day
AB,Total,reference,2014,279.1347461,Million cubic metres Per Day
BC,Total,reference,2014,112.4651453,Million cubic metres Per Day
MB,Total,reference,2014,0,Million cubic metres Per Day
NB,Total,reference,2014,0.2629982786,Million cubic metres Per Day
NL,Total,reference,2014,0,Million cubic metres Per Day
NS,Total,reference,2014,9.075079582,Million cubic metres Per Day
NT,Total,reference,2014,0.308724552,Million cubic metres Per Day
NU,Total,reference,2014,0,Million cubic metres Per Day
ON,Total,reference,2014,0.294231416,Million cubic metres Per Day
PE,Total,reference,2014,0,Million cubic metres Per Day
QC,Total,reference,2014,0,Million cubic metres Per Day
SK,Total,reference,2014,12.25675607,Million cubic metres Per Day
YT,Total,reference,2014,0,Million cubic metres Per Day
all,Total,reference,2015,422.2054775,Million cubic metres Per Day
AB,Total,reference,2015,285.6635178,Million cubic metres Per Day
BC,Total,reference,2015,118.2125846,Million cubic metres Per Day
MB,Total,reference,2015,0,Million cubic metres Per Day
NB,Total,reference,2015,0.1553936578,Million cubic metres Per Day
NL,Total,reference,2015,0,Million cubic metres Per Day
NS,Total,reference,2015,5.455603211,Million cubic metres Per Day
NT,Total,reference,2015,0.2302693775,Million cubic metres Per Day
NU,Total,reference,2015,0,Million cubic metres Per Day
ON,Total,reference,2015,0.3056821541,Million cubic metres Per Day
PE,Total,reference,2015,0,Million cubic metres Per Day
QC,Total,reference,2015,0,Million cubic metres Per Day
SK,Total,reference,2015,12.18242664,Million cubic metres Per Day
YT,Total,reference,2015,0,Million cubic metres Per Day
all,Total,reference,2016,429.3003151,Million cubic metres Per Day
AB,Total,reference,2016,286.7085495,Million cubic metres Per Day
BC,Total,reference,2016,125.5486038,Million cubic metres Per Day
MB,Total,reference,2016,0,Million cubic metres Per Day
NB,Total,reference,2016,0.254831336,Million cubic metres Per Day
NL,Total,reference,2016,0,Million cubic metres Per Day
NS,Total,reference,2016,4.805313127,Million cubic metres Per Day
NT,Total,reference,2016,0.2227541241,Million cubic metres Per Day
NU,Total,reference,2016,0,Million cubic metres Per Day
ON,Total,reference,2016,0.1982609096,Million cubic metres Per Day
PE,Total,reference,2016,0,Million cubic metres Per Day
QC,Total,reference,2016,0,Million cubic metres Per Day
SK,Total,reference,2016,11.56200236,Million cubic metres Per Day
YT,Total,reference,2016,0,Million cubic metres Per Day
all,Total,reference,2017,432.157396,Million cubic metres Per Day
AB,Total,reference,2017,287.7195751,Million cubic metres Per Day
BC,Total,reference,2017,128.588475,Million cubic metres Per Day
MB,Total,reference,2017,0,Million cubic metres Per Day
NB,Total,reference,2017,0.2244053999,Million cubic metres Per Day
NL,Total,reference,2017,0,Million cubic metres Per Day
NS,Total,reference,2017,4.140147807,Million cubic metres Per Day
NT,Total,reference,2017,0.1694895755,Million cubic metres Per Day
NU,Total,reference,2017,0,Million cubic metres Per Day
ON,Total,reference,2017,0.1252654419,Million cubic metres Per Day
PE,Total,reference,2017,0,Million cubic metres Per Day
QC,Total,reference,2017,0,Million cubic metres Per Day
SK,Total,reference,2017,11.19003757,Million cubic metres Per Day
YT,Total,reference,2017,0,Million cubic metres Per Day
all,Total,reference,2018,427.2461102,Million cubic metres Per Day
AB,Total,reference,2018,283.4028289,Million cubic metres Per Day
BC,Total,reference,2018,128.8651465,Million cubic metres Per Day
MB,Total,reference,2018,0,Million cubic metres Per Day
NB,Total,reference,2018,0.2019648599,Million cubic metres Per Day
NL,Total,reference,2018,0,Million cubic metres Per Day
NS,Total,reference,2018,3.309793021,Million cubic metres Per Day
NT,Total,reference,2018,0.1250830264,Million cubic metres Per Day
NU,Total,reference,2018,0,Million cubic metres Per Day
ON,Total,reference,2018,0.07662417754,Million cubic metres Per Day
PE,Total,reference,2018,0,Million cubic metres Per Day
QC,Total,reference,2018,0,Million cubic metres Per Day
SK,Total,reference,2018,11.26466976,Million cubic metres Per Day
YT,Total,reference,2018,0,Million cubic metres Per Day
all,Total,reference,2019,422.4710936,Million cubic metres Per Day
AB,Total,reference,2019,279.0690004,Million cubic metres Per Day
BC,Total,reference,2019,129.4538333,Million cubic metres Per Day
MB,Total,reference,2019,0,Million cubic metres Per Day
NB,Total,reference,2019,0.1817683739,Million cubic metres Per Day
NL,Total,reference,2019,0,Million cubic metres Per Day
NS,Total,reference,2019,2.539425086,Million cubic metres Per Day
NT,Total,reference,2019,0.09231106657,Million cubic metres Per Day
NU,Total,reference,2019,0,Million cubic metres Per Day
ON,Total,reference,2019,0.04530028493,Million cubic metres Per Day
PE,Total,reference,2019,0,Million cubic metres Per Day
QC,Total,reference,2019,0,Million cubic metres Per Day
SK,Total,reference,2019,11.08945513,Million cubic metres Per Day
YT,Total,reference,2019,0,Million cubic metres Per Day
all,Total,reference,2020,418.8269418,Million cubic metres Per Day
AB,Total,reference,2020,275.5660138,Million cubic metres Per Day
BC,Total,reference,2020,130.1142536,Million cubic metres Per Day
MB,Total,reference,2020,0,Million cubic metres Per Day
NB,Total,reference,2020,0.1635915365,Million cubic metres Per Day
NL,Total,reference,2020,0,Million cubic metres Per Day
NS,Total,reference,2020,1.907205108,Million cubic metres Per Day
NT,Total,reference,2020,0.06812541443,Million cubic metres Per Day
NU,Total,reference,2020,0,Million cubic metres Per Day
ON,Total,reference,2020,0.02587836714,Million cubic metres Per Day
PE,Total,reference,2020,0,Million cubic metres Per Day
QC,Total,reference,2020,0,Million cubic metres Per Day
SK,Total,reference,2020,10.98187388,Million cubic metres Per Day
YT,Total,reference,2020,0,Million cubic metres Per Day
all,Total,reference,2021,415.6964101,Million cubic metres Per Day
AB,Total,reference,2021,273.3489787,Million cubic metres Per Day
BC,Total,reference,2021,131.0951923,Million cubic metres Per Day
MB,Total,reference,2021,0,Million cubic metres Per Day
NB,Total,reference,2021,0.1472323829,Million cubic metres Per Day
NL,Total,reference,2021,0,Million cubic metres Per Day
NS,Total,reference,2021,0,Million cubic metres Per Day
NT,Total,reference,2021,0.05027644316,Million cubic metres Per Day
NU,Total,reference,2021,0,Million cubic metres Per Day
ON,Total,reference,2021,0.01428640463,Million cubic metres Per Day
PE,Total,reference,2021,0,Million cubic metres Per Day
QC,Total,reference,2021,0,Million cubic metres Per Day
SK,Total,reference,2021,11.04044382,Million cubic metres Per Day
YT,Total,reference,2021,0,Million cubic metres Per Day
all,Total,reference,2022,414.8381268,Million cubic metres Per Day
AB,Total,reference,2022,271.6075615,Million cubic metres Per Day
BC,Total,reference,2022,131.9216776,Million cubic metres Per Day
MB,Total,reference,2022,0,Million cubic metres Per Day
NB,Total,reference,2022,0.1325091446,Million cubic metres Per Day
NL,Total,reference,2022,0,Million cubic metres Per Day
