province,type,scenario,year,value,unit
SK,Total,reference,2013,77.08793113,Thousand cubic metres
YT,Total,reference,2013,0,Thousand cubic metres
all,Total,reference,2014,605.5595364,Thousand cubic metres
AB,Total,reference,2014,472.1040165,Thousand cubic metres
BC,Total,reference,2014,7.852646205,Thousand cubic metres
MB,Total,reference,2014,7.306313497,Thousand cubic metres
NB,Total,reference,2014,0,Thousand cubic metres
NL,Total,reference,2014,34.34,Thousand cubic metres
NS,Total,reference,2014,0.46,Thousand cubic metres
NT,Total,reference,2014,1.69,Thousand cubic metres
NU,Total,reference,2014,0,Thousand cubic metres
ON,Total,reference,2014,0.19,Thousand cubic metres
PE,Total,reference,2014,0,Thousand cubic metres
QC,Total,reference,2014,0,Thousand cubic metres
SK,Total,reference,2014,81.61656017,Thousand cubic metres
YT,Total,reference,2014,0,Thousand cubic metres
all,Total,reference,2015,638.7335637,Thousand cubic metres
AB,Total,reference,2015,515.8990953,Thousand cubic metres
BC,Total,reference,2015,8.589769444,Thousand cubic metres
MB,Total,reference,2015,7.282793066,Thousand cubic metres
NB,Total,reference,2015,0,Thousand cubic metres
NL,Total,reference,2015,27.348,Thousand cubic metres
NS,Total,reference,2015,0.4392230137,Thousand cubic metres
NT,Total,reference,2015,1.576,Thousand cubic metres
NU,Total,reference,2015,0,Thousand cubic metres
ON,Total,reference,2015,0.1573838966,Thousand cubic metres
PE,Total,reference,2015,0,Thousand cubic metres
QC,Total,reference,2015,0,Thousand cubic metres
SK,Total,reference,2015,77.44129891,Thousand cubic metres
YT,Total,reference,2015,0,Thousand cubic metres
all,Total,reference,2016,630.6647756,Thousand cubic metres
AB,Total,reference,2016,505.8873652,Thousand cubic metres
BC,Total,reference,2016,9.950024781,Thousand cubic metres
MB,Total,reference,2016,6.371763664,Thousand cubic metres
NB,Total,reference,2016,0,Thousand cubic metres
NL,Total,reference,2016,33.334,Thousand cubic metres
NS,Total,reference,2016,0.4163104017,Thousand cubic metres
NT,Total,reference,2016,1.403,Thousand cubic metres
NU,Total,reference,2016,0,Thousand cubic metres
ON,Total,reference,2016,0.1551500576,Thousand cubic metres
PE,Total,reference,2016,0,Thousand cubic metres
QC,Total,reference,2016,0,Thousand cubic metres
SK,Total,reference,2016,73.14716149,Thousand cubic metres
YT,Total,reference,2016,0,Thousand cubic metres
all,Total,reference,2017,688.9276334,Thousand cubic metres
AB,Total,reference,2017,564.1913638,Thousand cubic metres
BC,Total,reference,2017,9.842888388,Thousand cubic metres
MB,Total,reference,2017,5.369121473,Thousand cubic metres
NB,Total,reference,2017,0,Thousand cubic metres
NL,Total,reference,2017,31.38706643,Thousand cubic metres
NS,Total,reference,2017,0.357,Thousand cubic metres
NT,Total,reference,2017,0.05,Thousand cubic metres
NU,Total,reference,2017,0,Thousand cubic metres
ON,Total,reference,2017,0.1526820856,Thousand cubic metres
PE,Total,reference,2017,0,Thousand cubic metres
QC,Total,reference,2017,0,Thousand cubic metres
SK,Total,reference,2017,77.57751123,Thousand cubic metres
YT,Total,reference,2017,0,Thousand cubic metres
all,Total,reference,2018,718.629363,Thousand cubic metres
AB,Total,reference,2018,588.7953516,Thousand cubic metres
BC,Total,reference,2018,9.639363991,Thousand cubic metres
MB,Total,reference,2018,4.789938464,Thousand cubic metres
NB,Total,reference,2018,0,Thousand cubic metres
NL,Total,reference,2018,36.68402731,Thousand cubic metres
NS,Total,reference,2018,0.3372114253,Thousand cubic metres
NT,Total,reference,2018,0.1,Thousand cubic metres
NU,Total,reference,2018,0,Thousand cubic metres
ON,Total,reference,2018,0.1500401393,Thousand cubic metres
