province,type,scenario,year,value,unit
all,Total,reference,2005,411638.316343446,Thousand cubic metres
AB,Total,reference,2005,282212.479594854,Thousand cubic metres
BC,Total,reference,2005,6625.08142153098,Thousand cubic metres
MB,Total,reference,2005,2203.48513824885,Thousand cubic metres
NB,Total,reference,2005,0,Thousand cubic metres
NL,Total,reference,2005,48470,Thousand cubic metres
NS,Total,reference,2005,2050,Thousand cubic metres
NT,Total,reference,2005,2990,Thousand cubic metres
NU,Total,reference,2005,0,Thousand cubic metres
ON,Total,reference,2005,380,Thousand cubic metres
PE,Total,reference,2005,0,Thousand cubic metres
QC,Total,reference,2005,0,Thousand cubic metres
SK,Total,reference,2005,66707.2701888121,Thousand cubic metres
YT,Total,reference,2005,0,Thousand cubic metres
all,Total,reference,2006,440428.426346646,Thousand cubic metres
AB,Total,reference,2006,308821.510538914,Thousand cubic metres
BC,Total,reference,2006,6556.63331157194,Thousand cubic metres
MB,Total,reference,2006,3398.16174155146,Thousand cubic metres
NB,Total,reference,2006,0,Thousand cubic metres
NL,Total,reference,2006,48280,Thousand cubic metres
NS,Total,reference,2006,1910,Thousand cubic metres
NT,Total,reference,2006,2970,Thousand cubic metres
NU,Total,reference,2006,0,Thousand cubic metres
ON,Total,reference,2006,340,Thousand cubic metres
PE,Total,reference,2006,0,Thousand cubic metres
QC,Total,reference,2006,0,Thousand cubic metres
SK,Total,reference,2006,68152.1207546083,Thousand cubic metres
YT,Total,reference,2006,0,Thousand cubic metres
all,Total,reference,2007,457779.355398105,Thousand cubic metres
AB,Total,reference,2007,316621.845847414,Thousand cubic metres
BC,Total,reference,2007,5995.02732142857,Thousand cubic metres
MB,Total,reference,2007,3531.5109030978,Thousand cubic metres
NB,Total,reference,2007,0,Thousand cubic metres
NL,Total,reference,2007,58580,Thousand cubic metres
NS,Total,reference,2007,1890,Thousand cubic metres
NT,Total,reference,2007,2790,Thousand cubic metres
NU,Total,reference,2007,0,Thousand cubic metres
ON,Total,reference,2007,300,Thousand cubic metres
PE,Total,reference,2007,0,Thousand cubic metres
QC,Total,reference,2007,0,Thousand cubic metres
SK,Total,reference,2007,68070.9713261649,Thousand cubic metres
YT,Total,reference,2007,0,Thousand cubic metres
all,Total,reference,2008,448246.583333333,Thousand cubic metres
AB,Total,reference,2008,309817.916666667,Thousand cubic metres
BC,Total,reference,2008,5566.58333333333,Thousand cubic metres
MB,Total,reference,2008,3746.58333333333,Thousand cubic metres
NB,Total,reference,2008,0,Thousand cubic metres
NL,Total,reference,2008,54550,Thousand cubic metres
NS,Total,reference,2008,1750,Thousand cubic metres
NT,Total,reference,2008,2580,Thousand cubic metres
NU,Total,reference,2008,0,Thousand cubic metres
ON,Total,reference,2008,270,Thousand cubic metres
PE,Total,reference,2008,0,Thousand cubic metres
QC,Total,reference,2008,0,Thousand cubic metres
SK,Total,reference,2008,69965.5,Thousand cubic metres
YT,Total,reference,2008,0,Thousand cubic metres
all,Total,reference,2009,454605.85984063,Thousand cubic metres
AB,Total,reference,2009,331002.26312788,Thousand cubic metres
BC,Total,reference,2009,5478.22168202765,Thousand cubic metres
MB,Total,reference,2009,4116.22475806452,Thousand cubic metres
NB,Total,reference,2009,0,Thousand cubic metres
NL,Total,reference,2009,42550,Thousand cubic metres
NS,Total,reference,2009,1130,Thousand cubic metres
NT,Total,reference,2009,2470,Thousand cubic metres
NU,Total,reference,2009,0,Thousand cubic metres
ON,Total,reference,2009,250,Thousand cubic metres
PE,Total,reference,2009,0,Thousand cubic metres
QC,Total,reference,2009,0,Thousand cubic metres
SK,Total,reference,2009,67609.1502726574,Thousand cubic metres
YT,Total,reference,2009,0,Thousand cubic metres
all,Total,reference,2010,474322.643699972,Thousand cubic metres
AB,Total,reference,2010,349078.577937043,Thousand cubic metres
BC,Total,reference,2010,5674.91285842294,Thousand cubic metres
MB,Total,reference,2010,4763.68466845878,Thousand cubic metres
NB,Total,reference,2010,0,Thousand cubic metres
NL,Total,reference,2010,43850,Thousand cubic metres
NS,Total,reference,2010,1070,Thousand cubic metres
NT,Total,reference,2010,2390,Thousand cubic metres
NU,Total,reference,2010,0,Thousand cubic metres
ON,Total,reference,2010,240,Thousand cubic metres
PE,Total,reference,2010,0,Thousand cubic metres
QC,Total,reference,2010,0,Thousand cubic metres
SK,Total,reference,2010,67255.4682360471,Thousand cubic metres
YT,Total,reference,2010,0,Thousand cubic metres
all,Total,reference,2011,499452.606621043,Thousand cubic metres
AB,Total,reference,2011,374155.60891879,Thousand cubic metres
BC,Total,reference,2011,5897.54302099334,Thousand cubic metres
MB,Total,reference,2011,6462.27150921659,Thousand cubic metres
NB,Total,reference,2011,0,Thousand cubic metres
NL,Total,reference,2011,42140,Thousand cubic metres
NS,Total,reference,2011,860,Thousand cubic metres
NT,Total,reference,2011,1670,Thousand cubic metres
NU,Total,reference,2011,0,Thousand cubic metres
ON,Total,reference,2011,220,Thousand cubic metres
PE,Total,reference,2011,0,Thousand cubic metres
QC,Total,reference,2011,0,Thousand cubic metres
SK,Total,reference,2011,68047.183172043,Thousand cubic metres
YT,Total,reference,2011,0,Thousand cubic metres
all,Total,reference,2012,537046.956846122,Thousand cubic metres
AB,Total,reference,2012,413332.373756953,Thousand cubic metres
BC,Total,reference,2012,6255.75639661352,Thousand cubic metres
MB,Total,reference,2012,8094.56455289828,Thousand cubic metres
NB,Total,reference,2012,0,Thousand cubic metres
NL,Total,reference,2012,31430,Thousand cubic metres
NS,Total,reference,2012,580,Thousand cubic metres
NT,Total,reference,2012,2070,Thousand cubic metres
NU,Total,reference,2012,0,Thousand cubic metres
ON,Total,reference,2012,220,Thousand cubic metres
PE,Total,reference,2012,0,Thousand cubic metres
QC,Total,reference,2012,0,Thousand cubic metres
SK,Total,reference,2012,75064.2621396569,Thousand cubic metres
YT,Total,reference,2012,0,Thousand cubic metres
all,Total,reference,2013,575641.289975007,Thousand cubic metres
AB,Total,reference,2013,444314.083365944,Thousand cubic metres
BC,Total,reference,2013,6543.66760240656,Thousand cubic metres
MB,Total,reference,2013,8262.73671915003,Thousand cubic metres
NB,Total,reference,2013,0,Thousand cubic metres
NL,Total,reference,2013,36870,Thousand cubic metres
NS,Total,reference,2013,330,Thousand cubic metres
NT,Total,reference,2013,1960,Thousand cubic metres
NU,Total,reference,2013,0,Thousand cubic metres
ON,Total,reference,2013,200,Thousand cubic metres
PE,Total,reference,2013,0,Thousand cubic metres
QC,Total,reference,2013,0,Thousand cubic metres
SK,Total,reference,2013,77160.8022875064,Thousand cubic metres
YT,Total,reference,2013,0,Thousand cubic metres
all,Total,reference,2014,613070.828694417,Thousand cubic metres
AB,Total,reference,2014,472104.016543239,Thousand cubic metres
BC,Total,reference,2014,7852.92398233487,Thousand cubic metres
MB,Total,reference,2014,7781.3506688428,Thousand cubic metres
NB,Total,reference,2014,0,Thousand cubic metres
NL,Total,reference,2014,34340,Thousand cubic metres
NS,Total,reference,2014,460,Thousand cubic metres
NT,Total,reference,2014,1690,Thousand cubic metres
NU,Total,reference,2014,0,Thousand cubic metres
ON,Total,reference,2014,190,Thousand cubic metres
PE,Total,reference,2014,0,Thousand cubic metres
QC,Total,reference,2014,0,Thousand cubic metres
SK,Total,reference,2014,88652.5375,Thousand cubic metres
YT,Total,reference,2014,0,Thousand cubic metres
all,Total,reference,2015,638821.403721388,Thousand cubic metres
AB,Total,reference,2015,515890.153961017,Thousand cubic metres
BC,Total,reference,2015,8686.54703020993,Thousand cubic metres
MB,Total,reference,2015,7282.79691052227,Thousand cubic metres
NB,Total,reference,2015,0,Thousand cubic metres
NL,Total,reference,2015,27348,Thousand cubic metres
NS,Total,reference,2015,439.22301369863,Thousand cubic metres
NT,Total,reference,2015,1576,Thousand cubic metres
NU,Total,reference,2015,0,Thousand cubic metres
ON,Total,reference,2015,157.383896569381,Thousand cubic metres
PE,Total,reference,2015,0,Thousand cubic metres
QC,Total,reference,2015,0,Thousand cubic metres
SK,Total,reference,2015,77441.2989093702,Thousand cubic metres
YT,Total,reference,2015,0,Thousand cubic metres
all,Total,reference,2016,636569.016140922,Thousand cubic metres
AB,Total,reference,2016,511295.133939292,Thousand cubic metres
BC,Total,reference,2016,10412.2616858238,Thousand cubic metres
MB,Total,reference,2016,6380.99856538129,Thousand cubic metres
NB,Total,reference,2016,0,Thousand cubic metres
NL,Total,reference,2016,33334,Thousand cubic metres
NS,Total,reference,2016,416.310401659039,Thousand cubic metres
NT,Total,reference,2016,1428,Thousand cubic metres
NU,Total,reference,2016,0,Thousand cubic metres
ON,Total,reference,2016,155.150057603687,Thousand cubic metres
PE,Total,reference,2016,0,Thousand cubic metres
QC,Total,reference,2016,0,Thousand cubic metres
SK,Total,reference,2016,73147.161491163,Thousand cubic metres
YT,Total,reference,2016,0,Thousand cubic metres
all,Total,reference,2017,692670.179893587,Thousand cubic metres
AB,Total,reference,2017,562108.937234985,Thousand cubic metres
BC,Total,reference,2017,11690.1810418183,Thousand cubic metres
MB,Total,reference,2017,5830.8193436537,Thousand cubic metres
NB,Total,reference,2017,0,Thousand cubic metres
NL,Total,reference,2017,35096,Thousand cubic metres
NS,Total,reference,2017,312,Thousand cubic metres
NT,Total,reference,2017,54,Thousand cubic metres
NU,Total,reference,2017,0,Thousand cubic metres
ON,Total,reference,2017,94,Thousand cubic metres
PE,Total,reference,2017,0,Thousand cubic metres
QC,Total,reference,2017,0,Thousand cubic metres
SK,Total,reference,2017,77484.2422731295,Thousand cubic metres
YT,Total,reference,2017,0,Thousand cubic metres
all,Total,reference,2018,747505.273556146,Thousand cubic metres
AB,Total,reference,2018,610495.877946558,Thousand cubic metres
BC,Total,reference,2018,12219.9138494726,Thousand cubic metres
MB,Total,reference,2018,5370.0572684063,Thousand cubic metres
NB,Total,reference,2018,0,Thousand cubic metres
NL,Total,reference,2018,37716.7821656894,Thousand cubic metres
NS,Total,reference,2018,302,Thousand cubic metres
NT,Total,reference,2018,100,Thousand cubic metres
NU,Total,reference,2018,0,Thousand cubic metres
ON,Total,reference,2018,124,Thousand cubic metres
PE,Total,reference,2018,0,Thousand cubic metres
