province,source,scenario,year,value,unit
YT,total,reference,2015,442.8187,GW.h
all,total,reference,2016,644762.0769,GW.h
AB,total,reference,2016,83799.5745,GW.h
BC,total,reference,2016,67408.0344,GW.h
MB,total,reference,2016,35450.6062,GW.h
NB,total,reference,2016,13984.0996,GW.h
NL,total,reference,2016,44110.2991,GW.h
NS,total,reference,2016,9907.4357,GW.h
NT,total,reference,2016,552.8806,GW.h
NU,total,reference,2016,196.8797,GW.h
ON,total,reference,2016,160983.7157,GW.h
PE,total,reference,2016,609.068,GW.h
QC,total,reference,2016,204570.0792,GW.h
SK,total,reference,2016,22760.5026,GW.h
YT,total,reference,2016,428.9016,GW.h
all,total,reference,2017,643922.1012,GW.h
AB,total,reference,2017,86641.8431,GW.h
BC,total,reference,2017,66498.8155,GW.h
MB,total,reference,2017,35567.8702,GW.h
NB,total,reference,2017,13613.7554,GW.h
NL,total,reference,2017,39408.929,GW.h
NS,total,reference,2017,10026.6441,GW.h
NT,total,reference,2017,568.6146,GW.h
NU,total,reference,2017,197.5793,GW.h
ON,total,reference,2017,162081.3474,GW.h
PE,total,reference,2017,818.1456,GW.h
QC,total,reference,2017,205354.0834,GW.h
SK,total,reference,2017,22724.7311,GW.h
YT,total,reference,2017,419.7425,GW.h
all,total,reference,2018,650769.9331,GW.h
AB,total,reference,2018,88604.5127,GW.h
BC,total,reference,2018,66994.9892,GW.h
MB,total,reference,2018,35826.9499,GW.h
NB,total,reference,2018,13608.8914,GW.h
NL,total,reference,2018,39463.7096,GW.h
NS,total,reference,2018,10068.0201,GW.h
NT,total,reference,2018,571.1978,GW.h
NU,total,reference,2018,198.0622,GW.h
ON,total,reference,2018,162413.8963,GW.h
PE,total,reference,2018,818.1456,GW.h
QC,total,reference,2018,209118.9277,GW.h
SK,total,reference,2018,22690.9211,GW.h
YT,total,reference,2018,391.7095,GW.h
all,total,reference,2019,650219.8344,GW.h
AB,total,reference,2019,90464.1143,GW.h
BC,total,reference,2019,68718.862,GW.h
MB,total,reference,2019,35655.1001,GW.h
NB,total,reference,2019,12038.1321,GW.h
NL,total,reference,2019,39567.5176,GW.h
NS,total,reference,2019,9792.7523,GW.h
NT,total,reference,2019,579.8053,GW.h
NU,total,reference,2019,198.0185,GW.h
ON,total,reference,2019,159109.8076,GW.h
PE,total,reference,2019,818.1456,GW.h
QC,total,reference,2019,210264.6936,GW.h
SK,total,reference,2019,22585.005,GW.h
YT,total,reference,2019,427.8804,GW.h
all,total,reference,2020,656969.745,GW.h
AB,total,reference,2020,92288.7127,GW.h
BC,total,reference,2020,69100.7227,GW.h
MB,total,reference,2020,37797.3561,GW.h
NB,total,reference,2020,11817.9671,GW.h
NL,total,reference,2020,43216.7681,GW.h
NS,total,reference,2020,7008.9753,GW.h
NT,total,reference,2020,580.1072,GW.h
NU,total,reference,2020,200.6393,GW.h
ON,total,reference,2020,160444.3273,GW.h
PE,total,reference,2020,923.2656,GW.h
QC,total,reference,2020,211077.9457,GW.h
SK,total,reference,2020,22058.7869,GW.h
YT,total,reference,2020,454.171,GW.h
all,total,reference,2021,665074.153,GW.h
AB,total,reference,2021,92796.6026,GW.h
BC,total,reference,2021,69768.5932,GW.h
MB,total,reference,2021,40437.3793,GW.h
NB,total,reference,2021,11528.503,GW.h
NL,total,reference,2021,43272.383,GW.h
NS,total,reference,2021,7135.9037,GW.h
NT,total,reference,2021,583.1525,GW.h
NU,total,reference,2021,203.2745,GW.h
ON,total,reference,2021,162903.7409,GW.h
PE,total,reference,2021,923.2656,GW.h
QC,total,reference,2021,212636.8483,GW.h
SK,total,reference,2021,22428.4565,GW.h
YT,total,reference,2021,456.0499,GW.h
all,total,reference,2022,661837.3141,GW.h
AB,total,reference,2022,93164.6152,GW.h
BC,total,reference,2022,70102.9055,GW.h
MB,total,reference,2022,40621.3582,GW.h
NB,total,reference,2022,11607.6272,GW.h
NL,total,reference,2022,43420.3479,GW.h
NS,total,reference,2022,7209.1325,GW.h
NT,total,reference,2022,583.9761,GW.h
NU,total,reference,2022,205.5086,GW.h
ON,total,reference,2022,156619.1758,GW.h
PE,total,reference,2022,923.2656,GW.h
QC,total,reference,2022,213944.4397,GW.h
SK,total,reference,2022,22962.3184,GW.h
YT,total,reference,2022,472.6434,GW.h
all,total,reference,2023,662062.1607,GW.h
AB,total,reference,2023,93673.3695,GW.h
BC,total,reference,2023,70430.215,GW.h
MB,total,reference,2023,40621.3892,GW.h
NB,total,reference,2023,12194.0722,GW.h
NL,total,reference,2023,43486.2566,GW.h
NS,total,reference,2023,7227.1583,GW.h
NT,total,reference,2023,577.5255,GW.h
NU,total,reference,2023,205.5523,GW.h
ON,total,reference,2023,154951.7655,GW.h
PE,total,reference,2023,923.2656,GW.h
QC,total,reference,2023,213944.3435,GW.h
SK,total,reference,2023,23346.0194,GW.h
YT,total,reference,2023,481.2281,GW.h
all,total,reference,2024,658990.516,GW.h
AB,total,reference,2024,94371.6882,GW.h
BC,total,reference,2024,70834.494,GW.h
MB,total,reference,2024,40738.3753,GW.h
NB,total,reference,2024,11111.8666,GW.h
NL,total,reference,2024,43521.5185,GW.h
NS,total,reference,2024,7379.7893,GW.h
NT,total,reference,2024,588.2145,GW.h
NU,total,reference,2024,205.6396,GW.h
ON,total,reference,2024,150983.7668,GW.h
PE,total,reference,2024,923.2656,GW.h
