province,sector,source,scenario,year,value,unit
NL,total,total,reference,2014,158.3532,Petajoules
NS,total,total,reference,2014,164.2529,Petajoules
NT,total,total,reference,2014,19.6285,Petajoules
NU,total,total,reference,2014,5.6973,Petajoules
ON,total,total,reference,2014,3097.8212,Petajoules
PE,total,total,reference,2014,25.2892,Petajoules
QC,total,total,reference,2014,1787.7527,Petajoules
SK,total,total,reference,2014,672.7003,Petajoules
YT,total,total,reference,2014,4.2972,Petajoules
all,total,total,reference,2015,11167.2067,Petajoules
AB,total,total,reference,2015,3582.6376,Petajoules
BC,total,total,reference,2015,1168.0908,Petajoules
MB,total,total,reference,2015,298.6573,Petajoules
NB,total,total,reference,2015,219.6363,Petajoules
NL,total,total,reference,2015,153.4896,Petajoules
NS,total,total,reference,2015,169.3361,Petajoules
NT,total,total,reference,2015,21.4701,Petajoules
NU,total,total,reference,2015,5.0357,Petajoules
ON,total,total,reference,2015,3054.5114,Petajoules
PE,total,total,reference,2015,25.7456,Petajoules
QC,total,total,reference,2015,1778.1519,Petajoules
SK,total,total,reference,2015,686.5641,Petajoules
YT,total,total,reference,2015,4.0018,Petajoules
all,total,total,reference,2016,11279.8374,Petajoules
AB,total,total,reference,2016,3662.8647,Petajoules
BC,total,total,reference,2016,1180.3401,Petajoules
MB,total,total,reference,2016,312.0033,Petajoules
NB,total,total,reference,2016,219.7559,Petajoules
NL,total,total,reference,2016,161.6366,Petajoules
NS,total,total,reference,2016,163.4997,Petajoules
NT,total,total,reference,2016,21.9543,Petajoules
NU,total,total,reference,2016,5.2093,Petajoules
ON,total,total,reference,2016,3056.9401,Petajoules
PE,total,total,reference,2016,25.2773,Petajoules
QC,total,total,reference,2016,1779.0907,Petajoules
SK,total,total,reference,2016,687.0347,Petajoules
YT,total,total,reference,2016,4.2299,Petajoules
all,total,total,reference,2017,11646.3781,Petajoules
AB,total,total,reference,2017,3907.7084,Petajoules
BC,total,total,reference,2017,1198.68,Petajoules
MB,total,total,reference,2017,315.6957,Petajoules
NB,total,total,reference,2017,223.8427,Petajoules
NL,total,total,reference,2017,159.8224,Petajoules
NS,total,total,reference,2017,166.0904,Petajoules
NT,total,total,reference,2017,21.2187,Petajoules
NU,total,total,reference,2017,5.574,Petajoules
ON,total,total,reference,2017,3113.735,Petajoules
PE,total,total,reference,2017,25.5115,Petajoules
QC,total,total,reference,2017,1799.5107,Petajoules
SK,total,total,reference,2017,705.0181,Petajoules
YT,total,total,reference,2017,3.9713,Petajoules
