province,type,scenario,year,value,unit
all,Total,high,2005,411.666706144,Thousand cubic metres
AB,Total,high,2005,282.21,Thousand cubic metres
BC,Total,high,2005,6.626706144,Thousand cubic metres
MB,Total,high,2005,2.21,Thousand cubic metres
NB,Total,high,2005,0,Thousand cubic metres
NL,Total,high,2005,48.47,Thousand cubic metres
NS,Total,high,2005,2.05,Thousand cubic metres
NT,Total,high,2005,2.99,Thousand cubic metres
NU,Total,high,2005,0,Thousand cubic metres
ON,Total,high,2005,0.38,Thousand cubic metres
PE,Total,high,2005,0,Thousand cubic metres
QC,Total,high,2005,0,Thousand cubic metres
SK,Total,high,2005,66.73,Thousand cubic metres
YT,Total,high,2005,0,Thousand cubic metres
all,Total,high,2006,440.1582096086,Thousand cubic metres
AB,Total,high,2006,308.9,Thousand cubic metres
BC,Total,high,2006,6.5582096086,Thousand cubic metres
MB,Total,high,2006,3.02,Thousand cubic metres
NB,Total,high,2006,0,Thousand cubic metres
NL,Total,high,2006,48.28,Thousand cubic metres
NS,Total,high,2006,1.91,Thousand cubic metres
NT,Total,high,2006,2.97,Thousand cubic metres
NU,Total,high,2006,0,Thousand cubic metres
ON,Total,high,2006,0.34,Thousand cubic metres
PE,Total,high,2006,0,Thousand cubic metres
QC,Total,high,2006,0,Thousand cubic metres
SK,Total,high,2006,68.18,Thousand cubic metres
YT,Total,high,2006,0,Thousand cubic metres
all,Total,high,2007,457.8264421613,Thousand cubic metres
AB,Total,high,2007,316.65,Thousand cubic metres
BC,Total,high,2007,5.9964421613,Thousand cubic metres
MB,Total,high,2007,3.53,Thousand cubic metres
NB,Total,high,2007,0,Thousand cubic metres
NL,Total,high,2007,58.58,Thousand cubic metres
NS,Total,high,2007,1.89,Thousand cubic metres
NT,Total,high,2007,2.79,Thousand cubic metres
NU,Total,high,2007,0,Thousand cubic metres
ON,Total,high,2007,0.3,Thousand cubic metres
PE,Total,high,2007,0,Thousand cubic metres
QC,Total,high,2007,0,Thousand cubic metres
SK,Total,high,2007,68.09,Thousand cubic metres
YT,Total,high,2007,0,Thousand cubic metres
all,Total,high,2008,448.2278693016,Thousand cubic metres
AB,Total,high,2008,309.78,Thousand cubic metres
BC,Total,high,2008,5.5678693016,Thousand cubic metres
MB,Total,high,2008,3.74,Thousand cubic metres
NB,Total,high,2008,0,Thousand cubic metres
NL,Total,high,2008,54.55,Thousand cubic metres
NS,Total,high,2008,1.75,Thousand cubic metres
NT,Total,high,2008,2.58,Thousand cubic metres
NU,Total,high,2008,0,Thousand cubic metres
ON,Total,high,2008,0.27,Thousand cubic metres
PE,Total,high,2008,0,Thousand cubic metres
QC,Total,high,2008,0,Thousand cubic metres
SK,Total,high,2008,69.99,Thousand cubic metres
YT,Total,high,2008,0,Thousand cubic metres
all,Total,high,2009,454.6194452643,Thousand cubic metres
AB,Total,high,2009,331.02,Thousand cubic metres
BC,Total,high,2009,5.4794452643,Thousand cubic metres
MB,Total,high,2009,4.08,Thousand cubic metres
NB,Total,high,2009,0,Thousand cubic metres
NL,Total,high,2009,42.55,Thousand cubic metres
NS,Total,high,2009,1.13,Thousand cubic metres
NT,Total,high,2009,2.47,Thousand cubic metres
